ax,ay,az,gx,gy,gz
-1148,-14212,-7906,-768,-54,-204
-1024,-14366,-7694,-610,354,-262
-654,-14378,-7638,-250,292,-332
-716,-14314,-7546,-250,428,-356
-696,-14122,-7678,-380,404,-194
-284,-14388,-7854,-118,558,-130
188,-14520,-7452,152,660,-284
162,-14480,-7334,234,474,-266
124,-14594,-7428,214,282,-118
244,-14508,-7472,178,410,-30
454,-14400,-7594,272,376,34
176,-14238,-7552,450,196,72
-106,-14202,-7378,634,66,72
94,-14860,-7278,498,76,162
38,-14856,-7444,698,-54,62
-114,-14696,-7382,788,44,-62
-142,-14592,-7012,634,-80,-38
-296,-14800,-7086,484,-164,62
-226,-14896,-7024,322,-156,98
-310,-14878,-7024,280,-96,58
-358,-14888,-7030,246,-104,-34
-304,-14710,-7220,226,-154,-84
-340,-14588,-7316,226,-96,-68
-296,-14526,-7358,336,-78,-114
-220,-14508,-7222,392,-76,-160
-44,-14624,-7148,372,-90,-152
-30,-14618,-7232,432,-132,-104
-206,-14570,-7244,530,-32,-22
-150,-14536,-7102,528,10,-22
46,-14750,-6976,538,-86,-54
92,-14970,-6828,496,-192,-72
-50,-14952,-6984,514,-272,-48
-310,-14814,-7022,424,-216,8
-266,-14926,-6956,370,-138,28
-172,-14954,-6864,354,-172,-28
-252,-14788,-6834,370,-206,-94
-234,-14812,-6856,268,-192,-86
-208,-14948,-6890,134,-120,-6
-102,-14894,-6860,108,-96,24
-60,-14822,-6664,-68,-154,54
-124,-14890,-6662,-280,-252,14
-352,-14872,-7068,-294,-374,-50
-334,-14712,-7242,-160,-106,-6
-70,-14830,-6910,-128,-14,14
-108,-14842,-6798,-82,-152,-8
-256,-14790,-6996,-114,-266,22
-348,-14564,-7376,-12,-210,-14
-306,-14670,-7132,72,-2,-28
-132,-14976,-6746,-2,16,-22
-66,-14904,-6814,-48,-122,-78
