ax,ay,az,gx,gy,gz
-16172,-744,3066,24,-42,20
-16158,-736,3122,-64,22,26
-16138,-770,3102,-122,-56,46
-16178,-758,3098,-186,-64,72
-16166,-736,3104,-266,-32,102
-16160,-714,3064,-378,-30,146
-16230,-618,3048,-544,-40,154
-16284,-562,3134,-628,18,186
-16226,-540,3196,-696,144,236
-16224,-470,3236,-772,142,230
-16240,-466,3186,-820,144,236
-16214,-354,3150,-800,166,226
-16128,-306,3226,-694,238,234
-16098,-298,3314,-602,158,226
-16252,-296,3232,-522,94,200
-16280,-400,3100,-510,84,210
-16226,-450,3070,-508,58,208
-16288,-344,3080,-546,66,184
-16276,-434,2896,-602,88,238
-16314,-604,2800,-722,138,270
-16160,-460,2792,-784,264,210
-16064,-242,2982,-772,272,214
-16102,-168,2982,-728,212,212
-16068,-30,2954,-564,202,178
-16056,14,2986,-358,186,138
-16198,-64,2976,-186,146,134
-16114,-96,2870,-64,140,138
-16164,-206,2924,64,64,84
-16234,-266,2902,96,16,86
-16226,-250,2944,80,-40,44
-16278,-174,2918,114,-116,6
-16246,-218,2922,126,-96,-10
-16172,-186,3068,118,-116,-48
-16262,-126,3008,116,-206,-58
-16284,-190,2908,74,-146,2
-16142,-194,2888,28,-70,52
-16192,-350,2972,0,-130,94
-16384,-506,2912,-92,-84,146
-16300,-530,2786,-122,90,184
-16192,-542,2990,-172,134,162
-16240,-574,2946,-224,68,138
-16168,-426,2904,-222,60,110
-16246,-370,3016,-124,118,74
-16192,-458,3018,-80,46,54
-16136,-354,2928,8,-42,4
-16134,-186,2924,178,-14,-24
-16134,-258,2978,312,52,14
-16242,-398,2966,310,84,58
-16214,-322,2924,298,-8,48
-16312,-292,2940,272,-64,14
