ax,ay,az,gx,gy,gz
-16412,20,2304,-1236,446,-134
-16348,116,2344,-1172,512,-178
-16304,86,2360,-1036,544,-176
-16250,86,2340,-924,474,-160
-16218,54,2340,-824,388,-146
-16278,0,2356,-712,324,-140
-16306,-36,2432,-596,298,-142
-16286,-40,2296,-436,278,-126
-16302,-100,2224,-256,308,-148
-16348,-78,2178,-118,354,-166
-16318,-12,2168,44,432,-178
-16254,-32,2170,174,398,-164
-16296,-98,2086,356,370,-176
-16342,-94,2048,466,406,-234
-16314,-122,2072,518,434,-262
-16160,-192,2000,536,362,-258
-16144,-406,2022,552,338,-288
-16310,-488,1984,496,202,-434
-16416,-386,1936,330,250,-522
-16232,-676,1914,120,90,-484
-16224,-798,1760,46,-24,-500
-16344,-602,1906,-186,-128,-528
-16552,-470,1808,-236,-162,-444
-16732,-250,1808,-356,-20,-386
-16594,-204,1732,-438,180,-236
-16362,-358,1782,-416,230,-170
-16190,-420,1762,-452,80,-218
-16348,-404,1738,-462,-10,-274
-16398,-430,1680,-458,-18,-272
-16302,-356,1714,-426,-62,-254
-16344,-366,1854,-318,-102,-250
-16534,-312,1746,-154,-176,-178
-16578,-392,1640,-144,-136,-86
-16428,-434,1678,-58,-36,8
-16426,-624,1758,-10,8,72
-16414,-1032,1608,-176,142,52
-16324,-1148,1494,-412,362,32
-16246,-1292,1412,-580,492,24
-16160,-1218,1394,-716,474,-22
-16234,-802,1442,-694,448,-98
-16404,-286,1728,-524,482,-148
-16442,-178,1814,-324,390,-98
-16384,-272,1774,-76,300,-40
-16348,-456,1860,164,252,0
-16296,-558,1858,224,146,6
-16262,-830,1738,110,80,4
-16300,-906,1678,-34,50,-2
-16288,-730,1630,-164,94,-42
-16348,-546,1690,-242,146,-162
-16368,-432,1686,-310,148,-232
