ax,ay,az,gx,gy,gz
-1452,-16292,-1822,-654,130,-68
-1306,-16444,-1736,-896,194,-52
-1254,-16492,-1730,-968,130,-22
-1270,-16468,-1914,-970,54,50
-1248,-16342,-2046,-934,156,168
-1164,-16284,-2110,-918,122,150
-1230,-16224,-2318,-768,0,4
-1368,-16016,-2398,-714,34,-108
-1372,-15834,-2406,-638,40,-90
-1238,-15974,-2294,-562,-38,30
-1220,-16138,-2222,-500,-200,68
-1316,-16148,-2252,-498,-406,-16
-1434,-16200,-2386,-504,-448,-34
-1356,-16212,-2344,-536,-330,-26
-1288,-16128,-2414,-586,-302,-70
-1330,-16116,-2412,-608,-342,-136
-1490,-16224,-2448,-730,-268,-118
-1496,-16300,-2470,-746,-120,-70
-1386,-16076,-2636,-590,26,0
-1260,-15982,-2702,-406,118,126
-1166,-16028,-2682,-214,54,208
-1246,-15956,-2774,-76,2,192
-1252,-15922,-2800,26,-8,100
-1316,-15846,-2726,220,-72,48
-1324,-15926,-2714,346,-146,42
-1388,-16066,-2566,426,-180,8
-1474,-16116,-2500,378,-172,4
-1480,-16210,-2488,334,-138,52
-1400,-16312,-2458,256,-32,84
-1342,-16278,-2434,246,50,82
-1300,-16166,-2464,258,96,58
-1398,-16142,-2480,266,42,72
-1402,-16110,-2426,228,22,62
-1368,-16110,-2388,190,-10,46
-1318,-16172,-2372,158,-50,54
-1340,-16196,-2388,166,-56,82
-1414,-16130,-2374,174,-78,88
-1454,-16188,-2378,192,-48,102
-1368,-16372,-2398,70,66,166
-1304,-16316,-2346,48,144,154
-1314,-16260,-2330,56,132,134
-1360,-16198,-2312,-2,94,144
-1500,-16126,-2356,-112,-18,96
-1496,-16124,-2392,-178,-50,84
-1436,-16164,-2424,-200,-110,46
-1456,-16202,-2444,-146,-82,54
-1532,-16148,-2440,-158,-56,40
-1558,-16124,-2466,-206,-26,68
-1458,-16168,-2472,-238,-14,82
-1362,-16208,-2526,-222,-6,8
