ax,ay,az,gx,gy,gz
-16274,2050,-1430,8,-864,-90
-16178,1970,-1350,214,-984,-202
-16276,2162,-1250,280,-1440,-186
-16406,1986,-1356,356,-1584,-34
-16326,1824,-1164,360,-1590,68
-15986,1586,-794,326,-1880,-20
-15860,1658,-712,244,-2354,-210
-15944,1774,-562,158,-2712,-330
-15932,1426,-232,184,-2866,-290
-15786,1142,350,58,-3270,-410
-15820,990,676,-126,-3622,-560
-16230,1090,932,-196,-3690,-736
-16816,1280,944,-34,-3078,-778
-16866,1250,672,134,-2296,-748
-16974,1600,956,406,-1204,-622
-16660,1114,1068,458,-610,-418
-16258,1024,940,254,-536,-282
-16360,1118,950,72,-700,-198
-16472,1162,998,-66,-714,-234
-16490,1356,1046,-28,-610,-312
-16030,880,1026,-348,-670,-344
-15394,778,1658,-526,-1266,-598
-15374,894,2164,-784,-2412,-814
-16164,506,1956,-1030,-3456,-1012
-16808,914,1446,-926,-3486,-1178
-16982,1470,1496,-670,-3098,-1180
-16598,1602,1782,-256,-2340,-764
-16636,1382,2020,54,-2010,-500
-16632,1160,1836,280,-1572,-240
-16920,616,2054,326,-1016,-236
-16884,1006,1924,232,-716,-232
-16496,1188,1926,358,-294,6
-15968,876,2220,288,-240,132
-15974,714,2288,274,-592,166
-16464,606,2476,220,-802,-104
-16354,988,2154,84,-562,-248
-16286,1080,2390,144,-492,18
-16218,746,2536,-40,-814,148
-16368,768,2200,-108,-940,80
-16462,794,2194,-122,-608,-92
-16484,752,2546,-216,-194,-106
-16466,528,2516,-380,-140,-30
-16344,554,2366,-428,22,-12
-16308,738,2334,-376,148,-184
-16462,912,2246,-366,440,-322
-16398,966,2330,-340,942,-184
-16454,960,2596,-190,1010,58
-16842,976,2488,-128,966,50
-16638,1130,2222,-116,1098,-66
-16046,1094,2430,-70,1020,-62
