ax,ay,az,gx,gy,gz
-15004,1350,4028,-830,-700,-336
-15928,1266,4022,-732,-880,-88
-16320,1086,3972,-730,-650,186
-15984,718,4058,-708,-146,368
-15684,404,4370,-740,-44,300
-15988,348,4584,-800,-306,110
-16546,738,4528,-702,-468,-60
-17140,1310,4620,-458,-452,-162
-17588,1334,4208,-46,-122,20
-17208,980,3486,-6,600,302
-16082,414,3422,-84,1384,600
-15258,214,3564,-138,1390,598
-14628,148,3634,-434,940,436
-14490,226,3780,-632,486,220
-14776,400,4020,-728,-32,60
-15380,720,4126,-710,-680,-76
-15728,928,3970,-608,-796,-158
-15486,1234,4258,-238,-556,-240
-15222,1280,4766,140,-612,-410
-15792,1178,5568,626,-1096,-666
-17254,1046,5500,738,-1686,-676
-18844,772,4302,632,-1758,-426
-19184,626,2330,486,-16,-66
-17702,540,1974,542,2316,208
-15400,-2,3078,434,3696,350
-13994,-228,3834,74,2908,246
-13234,10,4230,-300,1376,-18
-13718,756,4440,-500,-682,-280
-15176,1192,4200,-562,-1870,-354
-16910,1244,3490,-536,-1956,-236
-16840,1162,3126,-388,-854,-32
-15436,614,3964,-226,158,110
-14694,498,4668,-182,-126,50
-14850,596,5200,-38,-896,-158
-16618,764,5398,256,-2066,-718
-18468,1368,4574,510,-2374,-1318
-19260,2074,2946,1192,-840,-946
-18292,1244,2420,1550,1456,-32
-16108,-10,3268,1132,2914,1112
-14674,-466,3850,574,2450,1550
-13666,-530,4190,-70,1340,1444
-13460,-514,4418,-932,-268,762
-14380,-148,4416,-1498,-1494,134
-15944,530,4022,-1830,-2140,-236
-16112,894,3610,-1698,-1556,-156
-15324,1010,4292,-1162,-656,-224
-14792,1108,5002,-636,-648,-612
-15248,1176,5688,-48,-1062,-1128
-17324,1438,6064,664,-1882,-1466
-19194,1564,5350,1054,-2264,-1212
