ax,ay,az,gx,gy,gz
-15974,600,3652,-68,-12,-26
-15882,568,3676,-88,-28,-58
-16020,492,3696,-188,-106,-78
-16182,490,3674,-258,-116,-68
-16198,538,3642,-288,-16,-46
-16050,582,3674,-284,50,-24
-15896,602,3764,-298,0,-10
-15870,654,3788,-360,-172,-36
-16054,654,3666,-374,-206,-86
-16128,668,3538,-358,-126,-172
-16094,632,3552,-372,-120,-154
-16064,624,3628,-434,-192,-90
-16122,636,3710,-444,-196,-36
-16098,668,3760,-424,-174,-22
-16038,730,3726,-378,-100,-24
-16006,664,3716,-330,-18,-6
-15972,540,3738,-330,-22,30
-16086,572,3768,-308,-82,20
-16088,602,3640,-276,-92,-2
-15966,586,3686,-276,-52,24
-15924,470,3826,-276,-110,28
-15992,478,3782,-274,-274,14
-16144,542,3654,-252,-282,-16
-16036,566,3666,-194,-122,62
-15914,458,3876,-198,-98,116
-15984,430,3842,-174,-240,140
-16194,526,3788,-122,-230,96
-16238,562,3740,-68,-142,36
-16004,498,3732,-10,30,56
-15872,438,3872,40,4,40
-15992,512,3768,150,-112,-32
-16126,618,3610,286,-40,-102
-16106,616,3598,400,104,-100
-15968,550,3766,490,130,-90
-15972,492,3786,532,60,-68
-16148,492,3682,596,2,-72
-16182,438,3648,570,76,-60
-15974,358,3708,508,168,-12
-15922,292,3794,388,118,-14
-15964,268,3748,296,30,-20
-16094,382,3666,162,-8,-50
-16202,472,3646,102,78,-46
-16076,418,3766,-4,128,16
-15958,358,3772,-90,62,78
-15946,396,3794,-206,-36,114
-16048,502,3674,-258,-92,72
-16104,604,3600,-218,-78,18
-16066,664,3694,-192,20,38
-15942,590,3780,-188,0,102
-15986,612,3694,-186,-118,106
