ax,ay,az,gx,gy,gz
-13868,-3542,-8164,40,-24,34
-13826,-3482,-8106,46,0,42
-13874,-3486,-8108,28,4,40
-13882,-3486,-8130,50,12,54
-13890,-3490,-8154,68,8,42
-13810,-3526,-8060,46,-10,26
-13858,-3542,-8178,22,-54,64
-13912,-3526,-8164,-10,-50,46
-13856,-3502,-8198,-24,-38,30
-13806,-3442,-8162,-26,-6,16
-13832,-3466,-8114,-12,-36,26
-13880,-3424,-8136,12,-4,22
-13864,-3470,-8132,16,24,28
-13892,-3480,-8144,8,0,44
-13864,-3484,-8142,12,18,26
-13864,-3500,-8146,-6,8,16
-13870,-3474,-8138,30,-34,0
-13910,-3456,-8146,40,-16,-18
-13844,-3442,-8184,22,18,0
-13820,-3432,-8176,20,10,-12
-13806,-3472,-8158,40,-12,-12
-13832,-3504,-8162,46,14,-2
-13842,-3528,-8156,72,12,-36
-13830,-3498,-8132,40,-14,10
-13848,-3468,-8140,58,-8,26
-13838,-3430,-8146,92,-34,20
-13814,-3398,-8248,136,-84,32
-13880,-3444,-8254,176,-54,32
-13722,-3604,-8136,136,14,34
-13646,-3550,-8078,130,-68,36
-13918,-3450,-8140,122,-108,8
-13994,-3490,-8148,116,-36,-14
-13854,-3544,-8144,106,44,8
-13798,-3542,-8076,60,-10,22
-13874,-3500,-8034,64,-88,32
-13892,-3468,-8138,38,-54,14
-13910,-3524,-8158,26,-4,-6
-13878,-3612,-8174,12,-24,-38
-13868,-3578,-8160,-2,-18,-24
-13856,-3476,-8064,18,2,32
-13878,-3500,-8138,40,-38,48
-13846,-3496,-8150,30,-50,28
-13872,-3518,-8150,18,-12,-24
-13874,-3522,-8108,4,2,-14
-13848,-3514,-8096,10,-4,42
-13816,-3546,-8112,30,-44,80
-13876,-3550,-8214,32,16,52
-13818,-3552,-8208,8,22,44
-13774,-3506,-8164,-4,-16,28
-13836,-3456,-8080,-10,-12,38
