ax,ay,az,gx,gy,gz
-15290,630,5404,-706,-2266,-820
-15798,672,5164,-752,-2442,-760
-16348,528,4838,-750,-2342,-632
-16638,442,4538,-542,-1892,-476
-16524,360,4368,-428,-1042,-334
-16076,208,4428,-228,-506,-264
-15682,278,4890,-24,-222,-286
-15674,258,5570,26,-386,-360
-15750,-2,5352,-40,-798,-436
-15802,34,4416,-62,-762,-480
-15802,282,4514,-214,-98,-468
-15618,-78,4912,-20,562,-410
-15120,-784,4628,-2,606,-624
-14612,-498,4810,-224,724,-1016
-14258,44,5216,-316,612,-1546
-14136,-38,5324,-484,222,-1638
-14342,-258,5172,-494,-722,-1006
-14536,-670,4986,-460,-1128,-990
-15548,-300,4492,-562,-1294,-830
-16406,152,4536,-170,-696,-694
-16390,616,4828,92,58,-656
-16506,328,5818,516,304,-464
-16520,-408,5746,420,290,-68
-16710,-1126,5422,-96,590,136
-16570,-418,4994,196,748,44
-16646,444,5252,592,1074,62
-16866,1390,5596,1436,1096,266
-17010,230,5214,1576,1274,502
-17146,-1186,4578,1466,1484,798
-16704,-662,4008,1656,1546,734
-15876,684,4974,1892,2112,154
-15214,1032,5548,1962,2792,286
-15242,156,5694,1740,2602,510
-15708,-1750,4288,1080,1300,386
-16044,-2336,4324,-32,2032,508
-16612,-1314,2982,-390,1632,726
-17422,588,2220,-550,3158,1014
-16360,1462,3990,-482,4558,1730
-14560,608,4328,40,3866,1558
-13528,0,4740,22,3006,1086
-13552,-844,5126,-90,1314,146
-14610,-2298,4180,-372,-640,-134
-15420,-2148,3344,-1092,-1372,-620
-15460,-2224,3596,-1594,-1518,-1288
-15214,-1530,4226,-2068,-1672,-2402
-15502,1056,4802,-2198,-2950,-2840
-16198,2420,4674,-1862,-4062,-1628
-16894,1010,4634,-850,-4364,-988
-17004,-888,3942,34,-3550,-1584
-17212,-496,4784,36,-2080,-1316
