ax,ay,az,gx,gy,gz
-16322,-1454,3264,-2840,2646,-1438
-16140,-1366,3486,-3024,3134,-1146
-15792,-1660,3566,-3642,3150,-1220
-15938,-1694,3070,-4066,3090,-1414
-16632,-1534,2732,-4132,3700,-1128
-16872,-1734,3008,-3806,4840,-430
-16034,-1974,3164,-3604,4622,-636
-15488,-1904,2530,-3596,3478,-2048
-16534,-984,2694,-3288,3414,-2616
-16962,80,2962,-2274,4910,-2320
-15820,-1064,2968,-1528,5284,-2368
-14476,-1530,2268,-1154,3558,-3724
-14798,-258,1966,-352,2196,-5684
-14746,64,2826,958,3286,-7082
-12028,618,2542,1826,3126,-8572
-11226,-562,1584,1802,-34,-9222
-14512,-1432,1342,984,-2316,-10056
-16248,-1332,1440,838,-1052,-10802
-14766,458,1912,212,1346,-11790
-10810,2296,386,-272,1138,-11112
-10732,454,1656,-1476,-148,-10546
-11942,830,1880,-4480,-260,-11170
-12188,1600,-932,-6948,-1480,-10302
-14644,-3442,-3470,-12028,1536,-6588
-14364,-6458,-4944,-15944,7220,-5860
-12210,-9826,-5752,-18174,11750,-5432
-10768,-11038,-278,-19736,9060,-4566
-11244,-5876,18,-19352,4046,-4886
-12606,364,-1152,-15212,3534,-5508
-12196,532,-4062,-12266,2388,-1838
-14688,-7452,-7908,-12214,562,3316
-15204,-13772,-10730,-10676,1680,3042
-13328,-12142,-10790,-10782,3742,360
-17226,-7994,-3474,-9444,8696,-2422
-16598,-520,4906,-9828,9354,-3548
-10934,-12550,-10500,-15260,6912,-2332
-14958,-14122,-17524,-12594,7362,-5940
-16122,-11668,-23380,-6936,13496,-8880
-15240,-17926,-30634,-7142,14294,-4214
-17986,-18882,-23232,-4730,16048,-738
-10658,-18088,-19622,-1420,11674,-7296
-12786,-4596,-19864,-106,6862,-5266
-10500,-5690,-13894,2464,6240,64
-9372,-3802,-8144,4212,2692,1240
-7276,-3070,-5836,6290,4472,-1008
-4508,-6048,-2200,6120,2080,-1646
-3102,-7022,-6016,2576,-2328,-2564
-8270,-7058,-10184,-1766,-3516,1034
-8574,-11196,-11222,-2412,78,1884
-5954,-13158,-7166,-4060,1108,1756
