ax,ay,az,gx,gy,gz
-9382,-11606,-7100,452,-78,-56
-9462,-11636,-7134,294,-84,-20
-9462,-11394,-6982,304,-26,0
-9410,-11304,-6712,434,74,14
-9358,-11524,-6804,488,16,60
-9422,-11686,-6880,474,-52,50
-9314,-11572,-6890,466,-114,8
-9188,-11498,-6706,558,-102,-90
-9234,-11644,-6656,620,-234,-130
-9280,-11666,-6700,632,-284,-144
-9292,-11668,-6714,602,-222,-122
-9268,-11592,-6726,638,-52,-72
-9206,-11640,-6648,718,-34,-20
-9330,-11714,-6702,622,-200,18
-9534,-11712,-6744,542,-166,18
-9428,-11940,-6608,510,-108,18
-9506,-12276,-6610,420,44,8
-9604,-12160,-6580,450,142,-34
-9836,-12054,-6734,342,136,-162
-9912,-12254,-6550,202,306,-136
-9632,-11984,-6492,-30,530,-170
-9308,-11608,-6374,-132,466,-168
-8882,-11476,-5728,-156,288,-188
-8876,-11816,-5434,-184,-198,-136
-9400,-12102,-6138,-554,-484,-278
-9572,-11666,-6612,-1004,-314,-316
-9156,-11602,-6176,-1138,-110,-340
-8596,-11962,-5906,-1262,-726,-456
-9186,-12162,-6224,-1588,-1204,-466
-9564,-12256,-6718,-1838,-1170,-476
-9818,-11738,-6952,-1782,-1056,-574
-10028,-11232,-7374,-1684,-704,-410
-9420,-11246,-7228,-1238,-198,4
-8982,-11144,-7098,-864,-246,172
-8880,-10800,-7138,-274,-298,240
-8704,-10648,-7182,164,-116,250
-8510,-11146,-6778,378,-108,274
-8782,-11688,-7316,338,-248,202
-9186,-11768,-7692,246,-28,156
-9160,-11974,-7526,116,478,166
-8936,-11784,-7004,118,192,92
-9462,-11252,-7108,248,-308,-40
-9940,-10836,-7364,490,-140,20
-9858,-11144,-7146,760,322,130
-9334,-11720,-6988,676,546,42
-8928,-11460,-6696,674,192,-112
-9120,-11500,-6652,890,-378,-288
-9384,-11994,-6886,824,-368,-288
-9458,-12714,-7134,666,-336,-344
-9094,-12096,-6752,292,-434,-332
