ax,ay,az,gx,gy,gz
-458,-15970,-3648,-18,-70,-8
-618,-15952,-3788,-40,-54,4
-464,-15962,-3774,-8,-8,16
-428,-15976,-3704,20,-46,2
-508,-15956,-3752,16,-66,12
-526,-15968,-3744,-24,-18,10
-418,-16018,-3670,26,-92,-64
-328,-16064,-3740,58,-130,-126
-360,-15994,-3766,134,-182,-158
-460,-15930,-3744,202,-224,-188
-428,-15920,-3672,272,-248,-234
-456,-15880,-3666,290,-318,-216
-506,-15894,-3704,280,-340,-218
-616,-15894,-3768,336,-234,-222
-636,-16012,-3822,356,24,-78
-642,-16060,-3654,356,364,-34
-424,-16140,-3390,220,584,176
-242,-16258,-3354,24,490,228
-328,-16176,-3384,-212,342,374
-464,-16028,-3500,-330,144,174
-400,-16054,-3660,-394,88,154
-292,-16124,-3580,-354,30,206
-344,-15844,-3662,-400,-66,106
-502,-15790,-3874,-330,-158,114
-514,-16024,-3766,-244,-194,88
-614,-15902,-3754,-188,-190,90
-796,-15854,-3880,-170,-252,160
-838,-15944,-3990,72,-276,408
-682,-15888,-3840,220,18,634
-410,-16064,-3746,62,422,686
-68,-16144,-3516,-52,480,534
-116,-16080,-3474,-94,10,164
-716,-15506,-3902,8,-248,42
-1002,-15434,-4002,128,-246,84
-1104,-15692,-3972,212,-192,88
-1028,-15916,-3852,186,-100,-10
-840,-15958,-3734,130,-50,-78
-590,-15984,-3698,114,-30,-156
-428,-15870,-3708,152,8,-146
-374,-15840,-3786,226,-24,-144
-476,-15800,-3776,274,-76,-152
-472,-15764,-3818,310,-48,-130
-330,-15738,-3884,434,-80,-80
-340,-15678,-3862,588,-104,-42
-368,-15864,-3706,690,-60,36
-436,-16088,-3506,624,-12,82
-620,-16302,-3326,508,-12,92
-748,-16324,-3324,432,-36,54
-838,-16226,-3374,318,-10,28
-864,-16192,-3336,156,-44,-16
