ax,ay,az,gx,gy,gz
-15964,366,4210,14,636,438
-15868,582,4314,-114,686,624
-15782,766,4116,-158,588,622
-15720,1452,4204,-190,580,810
-15570,1396,4366,12,666,1042
-15480,1126,4190,388,512,1244
-15244,1852,3540,594,676,1100
-14598,928,4988,922,-374,2208
-14728,-1102,6796,-26,-1360,2098
-18660,1636,5212,188,-396,-2000
-17428,1692,4458,1464,46,794
-15868,-800,4206,882,754,1820
-15194,-730,2978,386,2100,1140
-15788,146,4350,132,2616,1236
-15096,-16,5370,-310,1948,932
-14814,566,5048,-950,736,488
-15962,1246,3644,-798,228,566
-16438,564,3372,-432,576,752
-16278,212,3756,-488,1222,666
-15802,-358,4330,-586,1388,680
-15262,-698,4638,-932,1012,542
-15506,-612,4252,-1242,528,602
-16126,-288,4170,-1388,552,782
-17030,-766,4350,-1338,520,210
-17360,-446,4072,-1346,512,-280
-17596,-70,3642,-1452,884,-502
-17370,64,3466,-992,1442,-604
-16976,-370,3466,-628,1812,-934
-16284,-502,3544,-258,1664,-1446
-15846,-456,3264,-36,1326,-1632
-15840,-244,3164,224,906,-1748
-15952,-156,2628,420,342,-1830
-16416,-392,2556,514,246,-1678
-16196,-566,2294,630,702,-1680
-15762,-394,2316,794,778,-1484
-15358,-360,2492,866,434,-1038
-15334,-388,2246,1130,-314,-838
-15934,14,2140,1664,-790,-730
-16200,-324,1852,1822,-554,-382
-15918,-1182,1750,1820,-314,246
-15422,-2688,2142,974,-74,1290
-15430,-3608,2242,-10,14,1878
-15438,-3414,2386,-1888,-70,2626
-15294,-2188,2288,-3096,-28,3316
-17146,1430,8762,-3382,1066,2906
-22030,2152,6692,-4002,-1312,1438
-21722,4972,1408,-5852,-1042,-1660
-16466,4350,728,-3036,4184,-1956
-11132,3024,3660,-312,5148,-1464
-8262,1648,6220,1040,2046,-44
