ax,ay,az,gx,gy,gz
-13620,122,5110,254,-2066,-884
-15590,-1240,3092,-218,-3156,-160
-18318,-812,2312,-34,-928,-244
-17668,-174,3146,-432,424,204
-16244,-362,4776,-1186,196,230
-15844,-326,4516,-1486,228,364
-15302,-632,4382,-1520,156,366
-15320,-736,4310,-1478,-552,304
-16220,-308,4082,-1670,-602,332
-16568,-186,4036,-1772,-14,314
-16186,-386,3878,-1678,544,156
-16482,-336,3932,-1788,758,34
-16608,324,3892,-1832,818,194
-16104,662,3824,-1752,814,472
-15688,790,3826,-1432,594,418
-15696,600,3542,-1188,590,314
-16044,428,3274,-1096,660,240
-16436,530,3168,-944,812,318
-16546,506,3158,-708,1242,582
-16320,148,3328,-658,1420,786
-15908,-490,3310,-884,1186,820
-15740,-1128,3188,-1556,668,670
-15702,-1372,3060,-2320,340,548
-15946,-1338,3030,-3518,78,466
-16026,-1188,2948,-4480,-8,532
-15896,-1004,3010,-5564,-62,694
-15922,-972,3226,-6332,-132,812
-16058,-874,3488,-7092,-230,936
-16238,-518,3536,-7756,-306,864
-16312,246,3384,-7982,-230,822
-16376,910,3158,-7626,78,1088
-16412,1262,3180,-6932,280,1190
-16348,1480,3124,-5994,442,1106
-16150,1948,3608,-4478,714,862
-16066,1852,3910,-3190,582,668
-16044,1448,3718,-1796,362,396
-15950,1028,3524,-834,482,262
-15856,200,3726,-72,622,258
-15996,-420,3850,146,346,218
-16146,-1042,3666,78,178,192
-16132,-1184,3338,-270,212,212
-16056,-1318,3352,-688,154,326
-15810,-1278,3414,-1056,-92,186
-16008,-902,3558,-1186,-414,120
-16352,-98,3546,-984,-546,-90
-16480,624,3428,-484,-388,-236
-16422,1348,3464,414,-134,-316
-16298,2046,3552,1876,240,-478
-16160,2128,3740,3158,644,-518
-16000,1406,4020,4528,676,-480
