ax,ay,az,gx,gy,gz
-14362,-1776,5450,-2236,2388,390
-14204,-2238,5230,-2598,1880,242
-14878,-2252,5104,-2940,862,-292
-15716,-2316,4872,-3332,-424,-260
-16156,-2592,4452,-3316,-272,-58
-16360,-3128,3854,-3130,212,-106
-16670,-3002,3642,-2356,488,-460
-16964,-1288,3490,-1840,-120,-1352
-17198,-372,3722,-1346,-74,-2706
-17040,-482,4490,-866,690,-2736
-16428,-628,4440,-596,826,-2022
-15140,-1174,4108,-416,94,-1288
-14576,-1746,4044,-284,-620,-934
-14432,-2176,3642,-2,-1454,-794
-14448,-2006,3498,150,-1274,-642
-14660,-1786,4052,360,-1240,-16
-14928,-1948,4446,466,-1684,584
-15228,-2250,4082,550,-2056,1062
-15950,-2292,3916,512,-1670,1370
-16308,-1980,4174,454,-1254,1486
-16080,-1790,4118,524,-1304,1900
-15680,-1230,3570,674,-1418,2224
-15488,-1048,3454,1114,-946,2798
-15468,-562,4104,1404,-592,3128
-15392,-396,4556,1818,-1102,3548
-15218,-340,4378,2282,-2006,3914
-15510,-236,4426,2870,-2368,4146
-16790,-352,4554,3880,-1822,4260
-18056,-410,5548,4202,-910,4024
-18624,-2362,6036,4016,-240,2978
-18204,-3408,6616,2118,870,586
-17038,-2972,6890,238,1490,-270
-15062,-1386,6666,-1188,1154,-658
-13654,-198,6032,-1180,816,-512
-13036,1102,6158,38,-62,-594
-14006,1032,6416,664,-782,-486
-15324,-592,5584,1182,-1408,-1186
-16636,292,4354,1540,502,-1476
-16540,542,5224,1816,1976,-1040
-15262,942,6428,1170,1812,-316
-14908,-100,7014,1316,196,-190
-15342,-566,5892,1150,-1338,-154
-15866,-514,4602,1060,-1242,-128
-16254,-292,4422,930,-130,4
-16192,494,4838,626,1196,236
-15818,608,5020,618,1554,348
-15350,440,5038,496,1288,354
-15104,88,5034,350,806,134
-15134,-70,4756,18,356,-196
-15536,-16,4628,-256,146,-370
