ax,ay,az,gx,gy,gz
-5856,-10052,3786,-7064,-4986,2250
-8086,-13940,3528,-4698,-4560,1888
-8258,-16662,662,-4440,-4560,-488
-9860,-21708,-1102,-3776,6,244
-9980,-25186,-328,-4470,5218,-6
-6820,-32628,3556,-5502,6488,-878
-3388,-30958,7214,-7718,1128,-2750
-1372,-22354,6212,-10608,-4244,-4570
-4080,-13712,3376,-10652,-8312,-3444
-5578,-11874,-2212,-9236,-8862,-1128
-7086,-9332,-6584,-8522,-6230,928
-8996,-9176,-4776,-9144,-1216,2660
-8726,-16198,-2328,-10458,2524,4886
-7562,-23456,-3952,-13066,2526,4752
-6106,-24208,-6348,-15796,1140,3126
-5860,-14026,-4302,-16434,1996,496
-6552,-9022,-3652,-15308,2170,852
-8160,-10106,-5144,-14548,1094,1948
-9716,-12500,-7608,-13998,1360,484
-10458,-9546,-11774,-12690,3118,-1944
-9820,-5620,-13140,-10216,5334,-2236
-7464,-5158,-11178,-8602,7922,-1850
-3510,-5986,-10648,-6008,5328,-2608
-3142,-5862,-11492,-3888,3550,-3622
-3786,-8046,-11562,-1802,4066,-3990
-4222,-10820,-10642,-832,4738,-3846
-4456,-11218,-9764,-208,4076,-4614
-5158,-12324,-10534,-100,4396,-4312
-3746,-11380,-11522,-546,5146,-4752
-3270,-11850,-8584,376,6526,-4808
-2788,-12688,-9226,142,5780,-5148
-2306,-12466,-9300,362,5388,-5032
-1950,-12594,-9674,680,5092,-5736
-2648,-14358,-10154,1728,4640,-6368
-1750,-17678,-10802,2032,4668,-5256
420,-20188,-10260,538,5432,-4178
2990,-15490,-8438,1042,4996,-2566
2534,-12554,-8038,3046,2698,-226
578,-12844,-9182,1536,2674,566
-108,-12198,-9750,480,3080,-952
914,-11208,-9866,-230,4088,-1950
4224,-12422,-10220,-774,5092,-1982
6114,-12512,-9168,-696,3934,-1390
6328,-11152,-8250,-420,864,708
3512,-11326,-8836,2010,-1248,1632
450,-13710,-10738,1898,258,2662
486,-14060,-10174,1724,1678,2902
1264,-13526,-9058,1312,1824,2702
2124,-12798,-9308,1318,620,2566
1850,-11802,-10404,3072,-898,2450
