ax,ay,az,gx,gy,gz
7314,12776,19166,17748,-11122,4382
234,-27204,3322,10968,-22996,9054
-16360,-32766,-14888,2410,-24948,-3180
-24100,-16358,-12768,-15798,2310,-4874
-11028,-5768,-4778,-9134,11782,-3258
-7740,-23298,-1864,-12878,11644,2418
-5032,-32432,-5924,-15184,8514,-4070
-1912,-24616,-2840,-20198,8024,-8862
-2784,-9354,2340,-21600,2768,-12808
-844,-3274,-1426,-19412,-3100,-10698
-1600,-3208,-6386,-14138,-3824,-5382
-5536,-6760,-9220,-10528,-698,-2044
-6556,-11492,-10812,-7648,2060,-492
-6642,-17914,-9548,-5040,2998,376
-5292,-19286,-10614,-2448,4506,228
-692,-14632,-10892,-2736,6562,-998
1636,-12684,-10432,-2062,6860,-750
1526,-9838,-8968,-384,5644,494
168,-8290,-7636,108,4334,398
852,-8692,-8420,890,3482,-492
316,-12974,-8422,-260,2382,-1074
-754,-13580,-10066,-420,1090,-1002
-1300,-11246,-12450,1960,1882,556
-592,-12642,-12008,3528,3932,2718
58,-13480,-8718,4190,4364,3212
90,-13026,-8274,4516,3174,2572
-656,-12704,-8208,4240,2862,2726
-1802,-13726,-7008,3730,2672,3330
-3212,-14050,-6776,3368,1784,4016
-4652,-14898,-8736,3042,2034,4336
-4804,-14434,-9294,2752,4696,5334
-3642,-14456,-8950,3192,7580,5980
-3180,-14498,-7258,4126,8400,5668
-2680,-12808,-4488,5696,7374,4416
-1638,-13128,-3644,6814,3012,3404
-1842,-20620,-1820,5756,-2586,-1162
-1634,-22022,-3960,2792,-8576,-5798
-3894,-18864,-8228,1530,-7842,-7488
-4900,-14002,-10714,742,-2378,-5222
-4664,-10978,-8550,624,2476,-858
-3594,-11506,-6436,138,4124,2060
-1688,-12890,-5260,-1680,4868,3740
-1828,-15222,-6064,-1584,4270,3624
-2580,-15148,-7082,-1464,5020,2586
-1664,-16874,-4828,-1636,3052,1606
420,-16760,-5460,-1564,-332,-636
622,-14902,-6952,438,-2322,-2048
-114,-14128,-6192,1598,-2918,-1436
-2320,-15216,-5348,562,-4104,-592
-4416,-15096,-7718,54,-3236,-468
