ax,ay,az,gx,gy,gz
-15748,-548,5216,334,114,18
-15708,-488,5188,302,258,78
-15614,-514,5206,340,254,96
-15538,-634,5134,270,220,78
-15464,-632,5166,168,260,38
-15550,-736,5286,38,110,-26
-15672,-560,5206,2,-78,-30
-15688,-374,5080,20,-102,-28
-15664,-390,5062,42,-46,-8
-15618,-452,5070,168,26,66
-15710,-596,5200,118,-64,-8
-15762,-496,5136,38,-42,-72
-15812,-352,5106,38,-18,-78
-15718,-338,5050,-2,0,-54
-15602,-436,5064,20,96,-20
-15528,-298,5150,2,-92,-88
-15364,-220,4980,350,-230,-50
-15644,-544,5072,374,-176,98
-15860,-356,5014,486,-58,72
-15938,44,5152,440,74,68
-15798,-262,5260,304,180,24
-15712,-294,5202,164,200,70
-15656,-218,5080,236,132,70
-15544,-222,5026,324,178,88
-15432,-362,5048,376,150,106
-15626,-394,5062,346,-70,4
-15768,-274,4994,324,-38,-90
-15786,-248,5042,236,86,-120
-15702,-302,5084,198,54,-118
-15702,-348,5144,222,28,-80
-15756,-558,5176,240,14,38
-15608,-440,5158,196,-6,-56
-15430,-518,5246,266,-332,-168
-15460,-448,5260,204,-544,-244
-15850,-444,4928,184,-460,-268
-15990,-538,4898,144,-180,-282
-15846,-502,5034,156,68,-270
-15514,-540,5174,186,172,-214
-15414,-512,5284,156,48,-144
-15630,-502,5182,108,-130,2
-15894,-516,4966,18,-76,98
-15908,-452,4886,-68,150,168
-15692,-442,4952,-64,366,178
-15636,-516,5108,-54,404,164
-15654,-496,5146,-118,366,146
-15666,-396,5116,-136,290,162
-15668,-312,4984,-140,248,174
-15618,-354,5050,-102,218,140
-15670,-374,5086,-102,168,104
-15716,-348,5052,-156,120,58
