ax,ay,az,gx,gy,gz
-16146,774,4070,-194,-44,46
-16086,728,4214,-286,-54,102
-15816,622,4210,-318,-6,74
-16006,776,4008,-4,-36,24
-16002,710,3982,10,76,70
-15792,332,4232,-154,96,88
-15890,464,4200,-38,-132,24
-15978,654,4072,136,-162,-22
-15962,606,4060,222,-48,-90
-16094,444,4072,358,154,-8
-15876,444,4324,134,-42,-14
-16028,636,4106,-10,-218,-64
-16130,688,3734,-168,-50,-12
-16186,512,3964,-262,206,-8
-16192,446,4158,-494,546,124
-15946,556,4320,-466,674,214
-15822,556,4416,-460,632,354
-15802,478,4360,-462,508,242
-15508,508,4612,-486,404,234
-15174,432,4840,-356,-342,146
-15458,248,4390,-466,-992,18
-16012,962,3900,38,-1048,-190
-16478,986,3914,492,-338,-196
-16602,444,4066,124,-60,-60
-16170,886,4062,-188,226,6
-15728,766,4284,-82,476,70
-15832,582,4348,-26,142,-164
-15976,708,3984,-180,-292,-84
-15860,160,3500,136,154,126
-16134,1146,4422,36,682,242
-15888,830,4232,244,318,98
-15832,654,3890,372,318,128
-15958,362,3920,170,454,102
-15590,280,4264,62,70,114
-15236,-198,4548,-804,-1158,-292
-16398,746,3812,-476,-754,-178
-16788,708,3872,-318,174,64
-16012,646,4006,-374,386,184
-15698,544,4250,-338,320,146
-15918,628,4376,-250,212,96
-15868,638,4066,-256,192,76
-15968,634,4066,-84,284,112
-15916,550,4100,-28,308,132
-15918,590,4156,98,114,36
-15726,696,4012,230,8,-32
-15708,588,4036,352,6,-44
-15492,-888,5072,274,1174,630
-14436,874,3654,44,-560,572
-16852,1292,4568,140,-1120,-34
-18088,2218,3192,672,-1122,-1278
