ax,ay,az,gx,gy,gz
-16210,1434,2924,196,-1052,-364
-16144,1298,2804,112,-1166,-326
-16162,1222,3166,78,-1086,-230
-16422,1274,3538,-466,-2360,-608
-16004,1438,3304,-86,-2486,-436
-16542,1792,2378,132,-1776,-206
-16584,1566,2682,420,-614,16
-16048,1300,3722,394,-442,82
-16056,1136,3548,326,-618,-18
-16006,1332,3536,528,-752,-48
-16210,1230,3296,288,-804,-20
-16050,1206,3314,142,-820,48
-16280,1238,2634,404,-548,96
-16274,856,3250,162,-146,66
-15724,1168,3502,-102,-748,-108
-15618,1406,3566,550,-1100,-12
-15888,874,3556,322,-1590,-66
-16064,774,3468,18,-1716,-196
-15938,932,3024,-584,-1518,-320
-16056,1324,3754,-278,-1480,-2
-16286,1398,2174,-296,-1778,-186
-16912,1050,3736,2,-874,-44
-15952,884,3822,-434,-1290,-172
-16040,1480,2852,-184,-1118,-178
-16394,1258,3628,-26,-730,8
-16236,1334,3844,-42,-548,76
-15896,1032,3716,-230,-744,44
-15918,912,4228,-828,-864,-86
-16210,1336,3856,-624,-1090,-150
-16170,1744,3164,-298,-786,-62
-16022,1312,3278,-340,-224,-4
-16118,1536,3428,-242,176,68
-15742,1418,3692,-82,304,110
-15734,1140,4084,-348,-26,56
-16094,1210,3766,-396,-114,18
-16154,1410,3640,-104,294,166
-16078,1212,3888,-16,372,248
-15884,1022,3942,-166,262,170
-15784,1348,3938,-14,216,60
-15762,1310,4054,-104,46,48
-15890,1118,4074,-308,-366,32
-15892,998,3808,-388,-516,-48
-15900,1214,3656,-226,-442,-80
-15834,1338,4006,-96,-560,-50
-15806,1408,3898,-58,-630,-82
-16202,1298,3760,-200,-460,-18
-16018,1102,4094,-318,-284,44
-16118,1072,3860,-438,-232,-26
-15748,1342,3998,126,-316,-82
-15724,1086,4188,102,-474,-8
