ax,ay,az,gx,gy,gz
-15678,792,4376,-508,-126,-166
-15680,806,4250,-322,-24,-390
-15440,660,4364,-286,-94,-564
-15632,476,4572,-174,-408,-544
-15896,916,4350,-180,-872,-296
-16464,712,3756,-208,-536,-102
-16726,342,3762,-320,50,-194
-16434,372,4172,-746,730,-304
-15928,856,4176,-902,844,-144
-15486,586,4184,-834,852,-244
-15506,488,4398,-866,546,-520
-15672,650,4368,-932,122,-646
-16102,1042,4272,-728,-16,-542
-16206,966,4094,-402,254,-534
-15990,390,4006,-96,632,-726
-15676,82,4128,42,712,-990
-15730,-46,4178,-2,524,-1246
-16100,-126,4000,-82,384,-1314
-16384,-268,3782,-70,468,-1404
-16310,-458,3740,-110,880,-1614
-16050,-410,4034,-56,990,-1946
-15850,-424,4032,90,808,-2274
-15958,-544,3802,-30,624,-2428
-16310,-708,3556,-30,696,-2748
-16220,-704,3486,-120,1046,-2932
-15918,-692,3542,-106,1280,-2988
-15752,-744,3538,-474,1184,-2922
-15810,-852,3478,-660,1018,-2898
-15778,-982,3334,-826,796,-3058
-15820,-696,3264,-1008,554,-3218
-15954,-282,3310,-920,488,-3460
-16156,-552,3510,-516,652,-3680
-16248,-848,3814,-122,682,-4066
-16170,-500,3492,408,566,-4710
-15800,-112,3368,1134,638,-5212
-15500,-194,3534,2124,596,-5718
-15404,-572,3482,2618,526,-5920
-15812,-774,3552,3206,386,-6042
-16020,-946,3694,4398,890,-6536
-15366,-896,4372,5500,1656,-7218
-13388,-442,4164,7028,1090,-8342
-12634,-770,3568,7552,-364,-8862
-14680,-1096,4512,8934,-1134,-9200
-14980,-954,5610,10168,316,-10002
-12136,-1024,5280,11646,466,-10954
-8998,-2808,2204,10894,-2144,-11406
-11476,-2100,2574,9662,-1814,-12186
-13378,-620,2064,8782,178,-14702
-13598,-196,-564,5572,2226,-13932
-13258,-2868,-3822,1378,4192,-12952
