ax,ay,az,gx,gy,gz
-15692,3070,5272,6422,90,-3882
-15136,2592,5328,5540,-640,-3398
-15102,1590,4654,4380,-1298,-3036
-15276,1086,3840,3034,-1522,-2844
-15650,1686,3840,1518,-1698,-2980
-16004,2550,3642,494,-1564,-2758
-16628,2860,3802,-520,-820,-2446
-16958,2992,3662,-1438,-760,-1928
-16824,2140,3152,-2104,-378,-1612
-16886,2892,2320,-3856,1312,-1366
-17040,2792,2026,-4708,2282,-896
-17424,898,644,-6374,3566,-354
-17416,-710,28,-7884,4954,-386
-16762,-692,2886,-8294,7124,-722
-15002,-124,5762,-6792,8450,-1818
-13660,2782,7838,-5910,8292,-5698
-18220,2130,12090,-602,-3434,2154
-14822,3862,7714,2346,-3498,2026
-13812,7332,8734,2592,-4032,3000
-14360,1722,6846,3456,-4180,3330
-15372,-7972,3008,648,-3246,810
-17822,-9750,2536,-4442,-2338,154
-18484,-8000,1640,-6900,-42,-1874
-18370,-546,3070,-9034,3922,-2510
-17050,-490,4278,-7354,4226,-1246
-15902,-1342,5574,-7110,3442,-2270
-15122,-2102,6762,-6280,774,-3918
-15006,-994,5592,-4574,-2334,-5628
-16122,920,3932,-3508,-2364,-5910
-17476,1796,2946,-2518,200,-4472
-17190,16,2428,-1866,2810,-2410
-16178,-2856,2664,-660,2878,-2044
-16202,-4468,1946,276,1420,-3232
-17110,-3772,410,452,1668,-4222
-17424,-2072,1040,838,3302,-4482
-16246,-2458,2818,1126,3716,-4010
-15194,-3696,4030,888,2894,-3676
-15498,-4146,4162,870,960,-4230
-16494,-3660,3262,1134,1008,-4984
-16378,-3134,2550,1296,2722,-4556
-15544,-3822,2582,1206,3590,-3962
-14604,-4398,2866,1006,3472,-3658
-14004,-4200,3032,840,2122,-3204
-14312,-4664,3016,488,1502,-2716
-14830,-5462,3300,314,1054,-2460
-14848,-5812,3056,166,932,-2658
-15220,-4984,3032,-114,666,-3148
-15372,-4292,2484,-236,496,-3048
-15000,-3982,2160,-396,584,-2656
-15148,-4670,2478,-258,-736,-2590
