ax,ay,az,gx,gy,gz
-7338,-1174,14700,-722,5544,514
-9634,-3814,14088,-1952,4342,-2794
-10218,-3186,14572,-1808,4240,-2676
-12498,-2160,15488,-2616,2740,-2562
-13064,-1460,15674,-4262,-596,-3016
-9040,-1966,13682,-4112,-1958,-1714
-7940,-3122,14090,248,-382,-542
-8632,-3616,13230,674,-330,790
-8562,-2432,15048,-2120,-750,582
-8122,-3760,13678,-2886,-1060,-204
-8104,-4396,12886,14,-848,-1046
-7652,-4428,12540,3964,-652,-922
-7818,-3042,14412,5110,12,-480
-8760,-2104,15840,402,-454,-1356
-7030,-2860,13582,418,-422,-1222
-8302,-2476,14852,2588,-1200,44
-8354,-3570,12732,5898,-2016,-172
-8074,-2706,13756,7952,-1202,-254
-7376,-1550,15074,5878,-392,-568
-7180,-2142,14832,2786,252,-882
-7302,-1524,15330,-1870,220,-1058
-7258,-1694,14068,-2474,496,-1076
-7536,-1638,14348,-1504,582,-594
-7846,-2252,14046,-1862,580,-1044
-8392,-1938,14144,-992,646,-886
-7836,-2552,14896,342,224,-1078
-8166,-2490,14592,486,-138,-762
-7312,-2684,14522,112,284,-1380
-8040,-1744,14946,-588,-454,-630
-7634,-2408,13962,498,-438,-510
-8168,-2122,15104,1124,-1088,-12
-7470,-2690,13460,156,-582,-126
-7762,-1840,14320,634,144,-674
-7702,-2360,14230,284,-182,-928
-7660,-1966,14502,526,-356,-580
-7476,-2010,14306,704,-180,190
-7756,-2646,13554,-60,1042,-808
-7760,-1702,14232,-828,888,-432
-7954,-1468,14176,-662,230,436
-8186,-312,13448,-304,98,2428
-8298,-928,15228,-1092,342,3742
-7804,-3608,13820,-1782,1264,2848
-7908,-5040,13006,4888,2780,2260
-8082,-3244,14496,10010,2008,3800
-8676,-472,15966,6180,1228,1910
-8610,-604,15708,630,366,-362
-8536,-352,14610,-1232,-636,2
-8554,-1708,14086,-1114,-484,392
-8178,-2524,13726,1092,312,1170
-8106,-1036,14730,2528,660,1664
