ax,ay,az,gx,gy,gz
-2290,980,-16128,16,-28,4
-2296,962,-16084,16,-28,24
-2282,970,-16130,24,-20,10
-2288,996,-16148,14,-18,34
-2300,996,-16138,26,-22,-2
-2296,976,-16136,18,-28,8
-2298,970,-16130,16,-22,-6
-2278,968,-16146,24,-26,14
-2304,952,-16094,30,-28,8
-2304,982,-16116,30,-30,10
-2312,1020,-16120,16,-20,8
-2294,996,-16062,24,-30,-2
-2314,998,-16120,20,-32,16
-2304,996,-16110,18,-30,14
-2294,980,-16206,20,-20,4
-2282,946,-16090,18,-26,22
-2284,976,-16224,32,-26,10
-2316,996,-16146,30,-12,16
-2302,966,-16092,18,-16,22
-2308,988,-16180,30,-24,12
-2330,990,-16160,22,-20,16
-2280,976,-16066,24,-22,0
-2296,984,-16142,22,-30,10
-2280,978,-16122,10,-8,16
-2284,960,-16134,24,-18,8
-2324,992,-16154,28,-22,8
-2272,980,-16108,10,-20,0
-2284,1008,-16124,30,-32,10
-2298,968,-16146,18,-30,10
-2300,988,-16118,20,-22,2
-2308,986,-16156,18,-24,4
-2260,960,-16124,34,-22,20
-2296,984,-16112,10,-30,12
-2294,994,-16102,16,-22,6
-2298,1006,-16158,26,-24,10
-2286,982,-16110,28,-14,8
-2296,960,-16140,16,-28,10
-2280,970,-16132,18,-12,20
-2276,986,-16124,20,-22,8
-2272,974,-16096,20,-22,14
-2268,988,-16152,10,-26,-4
-2288,996,-16092,24,-18,10
-2286,1012,-16166,20,-10,6
-2264,990,-16114,22,-28,-2
-2308,980,-16158,16,-28,10
-2288,994,-16144,22,-18,16
-2296,976,-16138,16,-18,0
-2294,980,-16130,20,-16,2
-2274,978,-16128,20,-30,24
-2260,976,-16124,22,-32,6
