ax,ay,az,gx,gy,gz
-3454,4900,-15048,-128,60,-8
-3584,4964,-15066,-52,-202,-76
-3756,4924,-15162,-58,-260,-82
-3624,4742,-15280,-22,-64,4
-3552,4616,-15248,52,-26,-8
-3742,4642,-15340,44,-32,-40
-3810,4746,-15394,66,138,-66
-3632,4652,-15176,52,256,-8
-3488,4622,-15220,80,128,-20
-3392,4574,-15280,208,42,-38
-3410,4496,-15264,218,-62,-28
-3594,4396,-15332,146,-92,-16
-3656,4370,-15304,70,-22,-10
-3586,4422,-15368,0,-60,4
-3494,4528,-15424,18,-42,46
-3562,4482,-15262,14,-50,54
-3582,4508,-15282,26,-62,10
-3544,4476,-15364,74,-24,-22
-3572,4478,-15300,100,86,-8
-3608,4462,-15148,14,-40,16
-3636,4678,-15314,-80,-92,26
-3586,4722,-15282,-94,-76,40
-3748,4550,-15246,-68,-92,80
-4056,4394,-15310,-82,-62,96
-3916,4612,-15276,-6,166,148
-3438,4786,-15184,136,312,130
-3078,4612,-15020,118,58,6
-3328,4566,-15118,130,-278,-118
-3772,4556,-15430,180,-356,-136
-3982,4416,-15580,88,84,-20
-3588,4350,-15436,-46,380,82
-3176,4404,-15228,-98,206,84
-3244,4524,-15224,-60,-114,66
-3558,4564,-15304,-34,-230,70
-3802,4506,-15276,-54,-86,56
-3678,4588,-15222,-130,42,0
-3462,4652,-15124,-102,-24,-80
-3528,4672,-15266,28,-100,-98
-3688,4706,-15366,120,-114,-24
-3866,4646,-15342,134,-38,26
-3776,4608,-15382,132,66,22
-3576,4602,-15270,138,120,-30
-3392,4590,-15124,128,64,-42
-3510,4592,-15126,132,-176,-56
-3788,4544,-15346,-20,-206,-94
-3646,4386,-15402,70,158,-46
-3518,4334,-15416,88,180,-2
-3572,4402,-15436,74,180,-76
-3534,4728,-15094,24,228,-76
-3438,4764,-15088,34,12,74
