ax,ay,az,gx,gy,gz
-12854,6254,-8032,-30,-112,44
-12880,6274,-8088,-22,-108,28
-12916,6278,-8028,-22,-74,12
-12868,6256,-7990,-32,-98,10
-12852,6260,-7998,-12,-68,14
-12952,6214,-8038,18,-32,-22
-12922,6214,-8082,34,-30,-30
-12918,6184,-8026,28,-26,-10
-12922,6176,-8054,16,-46,-4
-12916,6220,-8098,38,-60,-22
-12880,6194,-8080,56,-50,-8
-12914,6170,-8076,40,-50,-8
-12860,6216,-8074,-12,-86,-2
-12888,6220,-8032,-24,-68,-8
-12910,6222,-8032,14,-50,6
-12940,6186,-8054,36,-34,-12
-12960,6166,-8062,32,-20,-4
-12906,6206,-8044,10,-26,12
-12902,6238,-7994,-4,-34,-4
-12970,6214,-7998,-16,-2,20
-12898,6206,-8062,32,40,20
-12876,6230,-8110,32,-4,0
-12910,6192,-7996,16,-24,8
-12896,6228,-8104,54,-30,14
-12874,6244,-8040,48,-48,50
-12894,6230,-8022,48,-20,46
-12946,6194,-8006,22,6,62
-12970,6168,-8042,28,22,38
-12954,6166,-8042,56,56,0
-12922,6162,-8052,38,52,2
-12916,6190,-8068,44,26,4
-12868,6188,-8030,26,12,0
-12824,6204,-8078,32,18,-2
-12858,6214,-8094,32,-28,22
-12862,6224,-8086,16,-20,22
-12870,6242,-8068,28,-14,20
-12936,6202,-8038,28,-18,12
-12976,6202,-8034,48,-22,16
-12906,6178,-8042,46,-16,26
-12908,6204,-8024,34,-6,-8
-12840,6230,-8070,6,-2,-18
-12908,6164,-8048,0,-16,4
-12874,6190,-8084,-2,-6,10
-12936,6206,-8086,32,6,4
-12966,6210,-8130,50,-8,-2
-12892,6180,-8088,80,-24,30
-12910,6206,-8108,64,-26,28
-12908,6196,-8074,24,8,34
-12886,6188,-8026,30,18,18
-12870,6170,-8034,42,42,14
