ax,ay,az,gx,gy,gz
-15818,-374,4602,72,138,54
-15704,-342,4758,12,66,46
-15734,-374,4742,-14,-142,6
-15830,-316,4614,-4,-138,4
-15850,-268,4660,52,-22,24
-15806,-318,4676,58,0,46
-15772,-356,4714,56,4,40
-15826,-322,4728,42,-36,2
-15900,-318,4668,34,-40,2
-15844,-324,4620,38,20,26
-15782,-324,4668,22,74,28
-15710,-310,4778,34,40,16
-15688,-322,4760,24,-40,2
-15766,-322,4690,-2,-76,18
-15854,-316,4666,-16,-38,38
-15846,-310,4672,-18,-24,30
-15790,-316,4716,-20,-8,14
-15762,-276,4738,-20,-22,10
-15794,-294,4750,-8,-48,6
-15844,-322,4696,0,-48,42
-15812,-314,4654,-10,26,44
-15706,-306,4738,10,66,38
-15732,-306,4796,22,-26,10
-15768,-324,4742,16,-110,-8
-15834,-330,4676,10,-72,18
-15868,-348,4686,6,14,22
-15812,-314,4728,8,46,34
-15770,-288,4702,4,40,30
-15752,-320,4710,6,-4,22
-15790,-332,4794,6,-30,40
-15832,-368,4690,0,-74,28
-15792,-292,4640,18,22,12
-15770,-270,4756,20,22,-2
-15798,-288,4710,54,-34,0
-15830,-356,4640,68,-24,6
-15818,-378,4694,70,12,12
-15840,-358,4732,72,14,14
-15754,-338,4686,86,20,4
-15758,-322,4690,64,34,12
-15770,-374,4718,42,24,26
-15798,-376,4684,30,-22,8
-15796,-336,4666,16,-22,14
-15810,-342,4662,16,-10,14
-15786,-352,4668,4,4,20
-15776,-310,4746,-22,-44,22
-15766,-268,4698,-12,-58,-10
-15800,-256,4696,30,-38,-16
-15842,-250,4668,50,-10,6
-15838,-278,4660,54,8,32
-15810,-294,4676,62,28,38
