ax,ay,az,gx,gy,gz
-2690,-15974,-2684,246,64,-72
-2570,-15962,-2646,214,-64,-92
-2660,-15968,-2636,222,-128,-70
-2794,-16098,-2548,172,-50,-12
-2776,-16048,-2576,138,-4,26
-2742,-16032,-2608,124,38,60
-2692,-16010,-2534,64,38,52
-2748,-15978,-2606,34,-26,66
-2764,-15914,-2670,24,-26,54
-2746,-15898,-2690,16,-32,52
-2720,-15904,-2688,30,-50,14
-2818,-15970,-2662,60,-82,-18
-2778,-15978,-2650,80,-56,-14
-2724,-15974,-2594,74,-28,-12
-2750,-15962,-2660,118,-22,12
-2740,-15908,-2696,114,22,-8
-2708,-16016,-2560,104,18,4
-2648,-16030,-2568,104,-28,2
-2718,-15902,-2700,142,-50,-12
-2742,-15904,-2634,134,-62,0
-2708,-16062,-2496,64,-70,-14
-2666,-16052,-2526,76,-96,-12
-2726,-15948,-2642,80,-110,20
-2822,-15906,-2666,106,-100,12
-2784,-15956,-2616,110,-48,-4
-2740,-15946,-2596,96,-66,-22
-2714,-16002,-2634,104,-16,-24
-2728,-16008,-2548,126,-8,-14
-2712,-16018,-2464,62,0,2
-2678,-16014,-2508,8,-70,10
-2752,-16022,-2576,6,-66,-12
-2818,-16018,-2530,-2,-12,10
-2738,-16040,-2472,-86,42,58
-2698,-16012,-2502,-166,38,62
-2736,-16044,-2578,-180,-20,42
-2756,-16010,-2626,-148,-16,20
-2738,-16032,-2578,-184,16,32
-2692,-15996,-2568,-220,-32,32
-2744,-15966,-2654,-216,-62,28
-2770,-15906,-2720,-190,-48,20
-2758,-15934,-2732,-188,0,24
-2698,-15960,-2660,-208,8,18
-2724,-15956,-2684,-218,-30,16
-2758,-15942,-2754,-168,-52,4
-2726,-15934,-2774,-112,2,4
-2704,-15946,-2708,-112,0,16
-2680,-15838,-2736,-142,-72,10
-2702,-15958,-2818,-166,-46,24
-2726,-16064,-2670,-154,0,26
-2780,-16070,-2624,-204,-28,70
