ax,ay,az,gx,gy,gz
-16168,176,3620,-1558,-396,504
-16216,160,3822,-1468,-254,402
-16202,212,3914,-1464,-178,294
-16066,212,3700,-1152,-26,252
-15812,152,3808,-766,188,316
-15880,40,3914,-714,-16,338
-16092,-120,3668,-748,-244,302
-16194,-194,3452,-932,-232,98
-16290,-50,3516,-1202,-140,122
-16284,-10,3524,-1470,34,186
-16202,-142,3562,-1708,174,240
-16104,-74,3540,-2164,140,362
-16086,124,3468,-2538,188,488
-16018,74,3586,-2858,360,676
-16012,20,3910,-3330,532,814
-16068,82,3916,-3668,524,862
-16112,366,3860,-3896,536,948
-15960,574,3870,-3862,660,976
-15812,908,4158,-3666,774,882
-15862,1154,4360,-3296,604,728
-15912,1350,4388,-2776,388,566
-15780,1384,4246,-2092,282,402
-15656,1192,4198,-1516,234,280
-15612,730,4348,-824,20,168
-15666,378,4348,-456,-184,102
-15790,74,4294,-234,-288,98
-15990,-346,4172,-164,-250,150
-16144,-632,4218,-168,-140,202
-16168,-988,4262,-408,-66,114
-16156,-944,4228,-688,-122,12
-16094,-814,4046,-988,-178,-116
-15950,-656,4054,-1076,-138,-214
-15926,-1016,3750,-1062,-98,-156
-16724,104,4288,-1436,-404,462
-15876,1786,3612,-294,-1056,1090
-15984,-2568,4602,992,1058,-156
-14856,-536,5376,342,934,-2488
-15438,1070,4506,48,-1740,-2898
-15764,1470,3882,-116,-3070,-800
-15574,590,2958,502,-1364,366
-16866,4,3528,1344,780,500
-16946,-110,4732,1640,240,30
-15752,584,3764,1496,-850,-224
-15788,1094,3222,1838,-464,-474
-16180,798,3768,2728,244,-712
-16278,190,4286,3142,130,-866
-16074,432,4124,2914,-58,-802
-15570,188,4380,2806,376,-422
-15494,-456,4750,2400,102,-446
-15982,-138,4276,1716,-276,-584
