ax,ay,az,gx,gy,gz
-13968,-3740,-7942,32,-82,-10
-13950,-3800,-7908,22,-52,-2
-13886,-3820,-7928,-10,-74,-10
-13842,-3782,-7938,-34,-102,10
-13948,-3760,-8050,-18,-184,6
-13952,-3758,-7958,30,-88,-4
-13864,-3720,-7976,22,-66,-18
-13856,-3702,-7940,34,-50,2
-13886,-3744,-7908,-2,-60,-4
-13970,-3830,-7970,-12,-54,18
-13954,-3840,-7912,-10,-40,12
-13854,-3790,-7916,-26,-70,-4
-13844,-3768,-7906,-18,-52,2
-13842,-3796,-7938,-8,-78,-14
-13888,-3786,-8010,-6,-90,-22
-13918,-3742,-8012,-20,-94,-14
-13916,-3678,-8006,8,-86,-24
-13902,-3654,-7978,16,-70,-8
-13942,-3730,-7944,60,-48,4
-13874,-3814,-7912,58,-76,6
-13860,-3796,-7916,72,-94,-8
-13856,-3766,-7894,44,-86,-42
-13774,-3794,-7942,34,-60,-34
-13874,-3820,-8012,-8,-108,-24
-14116,-3826,-7988,-14,-150,-20
-14148,-3794,-7832,30,-52,-34
-13888,-3768,-7854,28,6,-10
-13826,-3816,-7852,40,-8,-12
-13894,-3758,-7926,-12,-20,-26
-13918,-3830,-7932,-16,8,-10
-13848,-3770,-7916,-14,-58,-22
-13894,-3786,-7942,4,-52,-8
-13920,-3822,-7930,16,-8,14
-13942,-3808,-7938,6,-8,-4
-13938,-3840,-7926,18,-26,18
-13922,-3780,-7972,22,-28,12
-13900,-3738,-7912,26,-10,20
-13810,-3722,-7900,38,20,24
-13880,-3828,-7940,22,36,26
-13894,-3832,-7958,16,2,16
-13974,-3748,-7918,22,-34,2
-13944,-3746,-7834,16,20,12
-13830,-3788,-7892,4,70,28
-13868,-3814,-7964,8,38,46
-14020,-3840,-8028,-8,-24,18
-14042,-3754,-7948,54,58,4
-13842,-3676,-7934,54,50,-14
-13766,-3680,-7846,76,60,4
-13846,-3774,-7936,50,38,38
-13926,-3900,-7972,16,80,32
