ax,ay,az,gx,gy,gz
-15584,478,4846,-566,954,-756
-14774,1514,5308,560,972,-566
-14970,590,5038,1258,276,-210
-15628,-844,4572,1252,-920,-60
-16132,-1298,3912,754,-1142,-14
-16330,-1020,3692,304,-698,4
-16534,-672,4572,-20,-340,-94
-16376,-394,4208,102,-216,-232
-16080,-560,3946,356,636,-148
-15664,-500,4472,406,1102,88
-15178,-524,5134,400,572,78
-15228,-368,5146,538,-248,-122
-15772,-114,4720,794,-796,-336
-16212,-234,4016,992,-738,-374
-16064,-584,4018,980,-146,-108
-15678,-1056,4562,792,44,16
-15618,-1186,4770,654,-212,-24
-15752,-1008,4632,360,-574,-134
-15888,-810,4488,248,-686,-204
-15908,-732,4500,190,-502,-150
-15830,-656,4624,96,-264,-92
-15752,-698,4642,62,-316,-88
-15796,-716,4440,-20,-504,-104
-15898,-668,4504,-64,-426,-98
-15856,-660,4546,-88,-296,-30
-15832,-626,4658,-96,-276,-26
-15864,-594,4758,-58,-302,-48
-15820,-566,4732,6,-320,-4
-15724,-612,4728,24,-222,46
-15690,-618,4918,72,-172,-20
-15702,-566,4926,124,-264,-116
-15756,-576,4826,212,-396,-194
-15802,-560,4738,298,-368,-122
-15756,-554,4762,336,-200,-6
-15720,-550,5034,316,-196,18
-15782,-586,5006,308,-368,-42
-15822,-616,4860,402,-338,-80
-15800,-580,4778,460,-150,-10
-15814,-582,4936,476,-34,28
-15738,-674,5094,506,-6,72
-15640,-716,5068,422,-124,72
-15660,-712,5018,470,-242,48
-15720,-714,4994,488,-98,52
-15712,-676,5018,492,30,82
-15656,-694,5034,492,4,42
-15648,-704,5076,548,-108,-82
-15760,-558,5168,770,-2,-128
-15842,-612,5098,958,166,-104
-15888,-638,4924,900,364,-76
-15836,-976,5300,1020,542,-44
