ax,ay,az,gx,gy,gz
-896,-15892,-3808,172,-58,-12
-918,-15844,-3824,226,-78,-12
-994,-15792,-3908,182,-102,-26
-992,-15968,-3832,164,-94,-62
-1010,-15852,-3938,226,-82,-114
-774,-15842,-3830,272,-14,-166
-762,-15794,-3822,330,-26,-162
-818,-15856,-3778,346,2,-148
-856,-15944,-3772,366,-26,-170
-872,-15924,-3738,396,-50,-164
-864,-15948,-3652,370,-56,-168
-934,-16072,-3490,278,-4,-124
-834,-16392,-3398,98,142,-6
-628,-16340,-3394,22,194,72
-456,-16124,-3476,-30,150,138
-586,-15996,-3644,-80,14,186
-720,-15968,-3666,-92,-80,168
-790,-15908,-3680,-2,-228,188
-940,-15728,-3904,72,-358,46
-912,-15616,-3906,142,-356,-62
-920,-15764,-3890,194,-388,-118
-1126,-15936,-3820,310,-382,-182
-1350,-15998,-3722,370,-244,-182
-1324,-15982,-3642,270,16,-148
-1010,-16068,-3448,138,274,-94
-784,-16118,-3432,54,308,-46
-582,-16138,-3462,-86,346,18
-446,-16046,-3548,-190,302,52
-316,-15950,-3596,-210,182,38
-272,-15878,-3698,-48,-116,2
-656,-15814,-3812,72,-324,14
-1050,-16004,-3788,234,-374,58
-1404,-16076,-3668,364,-286,86
-1556,-16026,-3406,208,-38,32
-1200,-16152,-3218,-308,228,-22
-662,-16372,-3244,-668,256,-40
-280,-16622,-3404,-826,80,46
-468,-16544,-3516,-858,88,156
-880,-16152,-3552,-894,284,302
-858,-15826,-3676,-872,298,380
-768,-15602,-3870,-892,198,342
-742,-15484,-4202,-768,-32,208
-860,-15442,-4272,-626,-206,80
-1006,-15414,-4368,-262,-398,-26
-1154,-15468,-4264,-64,-390,-64
-1066,-15688,-4132,26,-150,-8
-844,-15856,-4066,62,16,10
-694,-15966,-3976,50,72,24
-880,-15882,-4020,134,42,22
-1102,-15716,-4088,256,40,4
