ax,ay,az,gx,gy,gz
-3294,-14610,-6274,20,26,76
-3390,-14554,-6360,36,-172,60
-3502,-14450,-6440,88,-362,22
-3628,-14388,-6506,158,-494,-14
-3790,-14398,-6586,152,-582,-62
-3986,-14494,-6584,204,-498,-118
-4056,-14646,-6528,190,-320,-136
-3942,-14742,-6386,130,-62,-140
-3806,-14774,-6312,102,68,-82
-3584,-14692,-6274,122,166,-24
-3538,-14622,-6328,102,128,10
-3630,-14566,-6356,84,142,40
-3332,-14630,-6378,100,106,26
-3248,-14622,-6266,154,-42,22
-3388,-14614,-6208,240,-212,30
-3596,-14624,-6276,272,-380,-8
-3814,-14582,-6362,294,-350,0
-3846,-14698,-6292,212,-204,-4
-3844,-14672,-6282,244,-178,-28
-3846,-14682,-6334,224,-68,-64
-3816,-14602,-6370,188,10,-60
-3712,-14692,-6230,156,114,-16
-3682,-14700,-6196,144,98,-18
-3668,-14686,-6248,100,76,-16
-3540,-14668,-6250,90,84,-38
-3396,-14694,-6194,104,64,-52
-3470,-14756,-6124,84,-114,-58
-3598,-14758,-6096,18,-202,-50
-3652,-14690,-6214,72,-198,-34
-3636,-14652,-6278,92,-142,-24
-3724,-14640,-6244,82,-124,-20
-3788,-14648,-6268,56,-74,-20
-3752,-14690,-6292,44,-18,-16
-3634,-14656,-6280,84,-18,-28
-3592,-14640,-6244,148,12,-20
-3582,-14608,-6212,134,30,20
-3594,-14696,-6182,84,8,60
-3606,-14762,-6172,76,32,58
-3474,-14692,-6142,118,68,78
-3566,-14666,-6032,104,-36,92
-3834,-14776,-6302,290,-46,100
-3904,-14730,-6332,440,130,120
-3860,-14686,-6170,442,280,148
-3708,-14716,-5988,228,428,154
-3594,-14808,-5984,18,406,130
-3500,-14818,-6104,-74,256,72
-3522,-14832,-6146,-122,112,20
-3518,-14716,-6122,-106,-24,-36
-3532,-14752,-6162,-106,-56,-32
-3596,-14734,-6188,-138,-36,-32
