ax,ay,az,gx,gy,gz
-13964,-2838,-8336,-328,-1562,854
-14228,-2666,-8276,-254,-1622,552
-14206,-2886,-8438,-184,-424,428
-14190,-2954,-8488,-450,324,-144
-14216,-2260,-8424,-272,794,-100
-13994,-3040,-8592,-322,908,46
-13792,-2902,-8528,-608,432,-526
-13570,-2116,-8544,-510,156,164
-13628,-2434,-8478,-452,642,168
-13408,-2086,-8322,-232,-34,-752
-13266,-2500,-8262,-196,-448,-1208
-13104,-2698,-8280,-424,-1114,-1666
-13370,-2674,-8074,-266,-1282,-1668
-13676,-2298,-8286,84,-1138,-1172
-14090,-2892,-8258,292,-654,-424
-14404,-2904,-8418,170,-446,-384
-14234,-3360,-8554,-192,-8,-866
-14274,-2806,-8414,-366,114,-1106
-14210,-2550,-8278,-246,400,-700
-14018,-2480,-8182,-80,170,-432
-13964,-2628,-8264,52,310,-302
-13868,-2958,-8198,144,374,-436
-13928,-2994,-8278,224,298,-384
-13868,-2938,-8342,286,872,-238
-13938,-2820,-8366,570,1274,92
-14228,-2664,-8288,1036,1666,272
-13778,-3210,-8288,1254,1620,566
-13506,-3292,-8244,1140,974,410
-12702,-3514,-8114,774,-464,756
-13124,-2860,-8532,894,-1160,1498
-14308,-3578,-8858,610,1052,696
-14360,-3330,-8680,456,1904,-860
-14092,-3164,-8634,304,1774,-1902
-13804,-2860,-8182,158,334,-1378
-12872,-3190,-8644,8,-1012,-262
-13450,-3208,-8800,198,-672,564
-13746,-3190,-8754,436,-106,212
-13898,-3348,-8806,392,536,-646
-13786,-3342,-8688,222,774,-924
-13626,-3458,-8564,16,224,-522
-13848,-3264,-8746,-206,-262,202
-13678,-3306,-8678,-24,-70,708
-13324,-3002,-8506,358,-20,382
-13448,-3096,-8480,434,-196,124
-13384,-3162,-8626,634,82,338
-13374,-3462,-8532,580,-264,52
-13564,-3280,-8630,578,-572,166
-13912,-3216,-8718,586,-564,514
-13950,-3766,-8798,544,-146,336
-13796,-3852,-8868,-8,-320,-480
