ax,ay,az,gx,gy,gz
-15688,152,4872,-2,40,24
-15664,134,4910,32,20,26
-15722,110,4866,28,-20,-6
-15778,164,4844,38,-70,8
-15792,180,4866,30,-26,-8
-15742,150,4936,70,-22,-6
-15740,136,4878,72,-24,6
-15712,120,4890,80,0,-4
-15752,112,4880,96,12,-2
-15760,126,4872,72,18,12
-15762,162,4900,62,54,18
-15716,134,4914,62,56,10
-15724,162,4918,66,6,8
-15782,138,4920,40,-14,16
-15756,124,4784,66,22,24
-15738,140,4888,82,72,8
-15672,184,4952,98,48,-4
-15710,148,4892,102,-28,-4
-15778,98,4868,88,-32,-22
-15782,84,4882,58,-26,8
-15766,152,4868,8,-6,0
-15738,166,4880,-14,2,0
-15694,146,4850,6,-40,-8
-15702,160,4862,34,-84,-32
-15720,250,4820,70,-140,-50
-15714,260,4810,96,-174,-60
-15776,180,4850,124,-204,-70
-15804,130,4812,132,-208,-84
-15822,148,4764,122,-146,-68
-15802,66,4816,126,-94,-42
-15808,56,4796,72,-62,0
-15756,58,4778,46,-12,22
-15704,86,4828,0,-30,24
-15778,92,4846,-76,-92,20
-15786,100,4792,-106,-90,12
-15784,138,4804,-124,-48,18
-15748,146,4820,-92,-88,28
-15770,184,4796,-72,-128,14
-15772,242,4844,32,-84,-18
-15734,254,4802,106,-64,-14
-15806,226,4854,162,2,-26
-15772,160,4904,202,-8,-22
-15752,130,4862,188,-4,-28
-15802,114,4910,160,66,-4
-15798,126,4926,146,148,16
-15756,98,4970,136,196,66
-15716,74,4974,112,194,66
-15688,52,4982,94,156,70
-15776,-58,5100,36,230,72
-15794,-100,5076,-20,324,76
