ax,ay,az,gx,gy,gz
-1722,-6896,-14696,-238,172,-234
-1662,-6786,-14736,-96,-162,58
-1798,-6928,-14796,-100,-42,258
-1902,-7010,-14852,-26,28,34
-1902,-6822,-14732,66,100,-80
-1818,-6802,-14630,148,184,64
-1940,-6994,-14612,24,138,14
-1880,-7010,-14628,-92,12,-246
-1714,-6884,-14678,-50,-72,-244
-1624,-6858,-14660,56,-42,-18
-1608,-6930,-14594,68,-148,44
-1628,-7024,-14716,-66,-86,-42
-1584,-6974,-14712,-42,-100,-96
-1594,-6896,-14724,96,-16,94
-1690,-6982,-14688,204,-34,162
-1792,-7030,-14638,126,-96,18
-1774,-6892,-14596,104,-156,-26
-1830,-6870,-14570,122,-18,50
-1864,-6960,-14612,94,60,-92
-1860,-6924,-14574,-36,26,-252
-1796,-6938,-14630,-112,-120,-266
-1754,-6854,-14780,-34,-240,-196
-1780,-6926,-14804,110,-106,-120
-1736,-7048,-14668,188,8,-204
-1740,-7016,-14578,170,-20,-236
-1700,-7042,-14638,132,-30,-224
-1664,-7018,-14670,54,-54,-208
-1636,-6908,-14652,130,-164,-82
-1628,-6940,-14642,130,-250,32
-1690,-6948,-14620,248,-148,154
-1858,-7026,-14510,246,182,60
-1844,-7104,-14474,26,182,-236
-1704,-6986,-14602,-136,-114,-456
-1668,-6918,-14700,-106,-90,-298
-1638,-7028,-14710,38,-46,-110
-1634,-7064,-14744,28,70,-144
-1610,-6984,-14740,54,-2,-76
-1626,-6984,-14646,108,-66,154
-1722,-7074,-14672,-24,-66,86
-1798,-6922,-14706,-114,-198,-104
-1760,-6790,-14686,-36,-156,30
-1882,-6916,-14634,26,12,168
-1912,-7046,-14514,-86,34,-20
-1868,-6910,-14548,-238,-102,-134
-1802,-6840,-14610,-306,-304,-22
-1856,-6954,-14730,-286,-324,-72
-1800,-6958,-14846,-244,-90,-188
-1744,-6986,-14746,-220,98,-214
-1644,-7002,-14768,-54,-76,-198
-1588,-6862,-14708,60,-140,6
