ax,ay,az,gx,gy,gz
5250,5624,-13688,-2544,2728,-6682
4302,6170,-13526,988,1010,-5602
3222,6076,-13870,1042,-534,-4228
4108,6294,-14840,840,-2052,-3994
3866,6282,-15496,302,-2164,-4650
3228,6278,-16050,-30,-884,-5384
2896,5974,-15730,-6,-20,-5768
3124,5286,-15124,1762,742,-6572
3686,3962,-14770,4510,1714,-8644
2586,1444,-16720,2720,3800,-11272
2518,2770,-16110,-4444,8166,-13108
3472,3970,-15868,-5958,11090,-11914
4378,5210,-13674,558,10452,-7418
4934,4394,-13268,5322,5638,-4294
5212,1738,-15396,4408,3914,-4662
4530,946,-16852,-2946,5580,-6568
5154,3082,-16732,-3364,7868,-6182
6000,3330,-15798,-2230,11620,-3182
6658,4874,-14764,2258,12852,-2446
7932,3806,-14440,6294,10438,-800
9162,4254,-16224,9200,9362,-2440
9198,5414,-16992,10424,10074,-5980
6374,5530,-19116,11286,12614,-8902
1970,11610,-18036,7266,12052,-2826
4088,8412,-13170,4498,7714,4646
6174,8066,-12140,8330,10176,1174
6618,7398,-13004,12390,13324,-886
6708,7098,-14708,16084,15822,-2008
8082,5884,-15216,16268,17102,-2552
6780,6708,-15762,13258,16148,-7064
5800,4936,-13640,8912,8186,-7910
5982,5394,-12388,6100,2076,-6318
5982,5886,-12280,2218,-1496,-6204
6708,5890,-10966,-1478,-3154,-6546
6606,5758,-9912,-2482,-2696,-5224
6442,6614,-9382,-648,-1064,-3024
7062,7746,-9544,1806,420,-842
7164,8074,-10470,2638,260,-1576
9734,7306,-12360,3028,-212,-3566
9912,5976,-13766,2394,-234,-6750
9780,6958,-14178,2312,1120,-8878
10594,6122,-14400,1372,3724,-10446
11178,5752,-14024,-34,5434,-11890
11090,5266,-13066,-1096,6310,-13414
10158,5872,-12230,-1620,5554,-12198
10742,5558,-12020,-2100,6028,-11018
8394,6502,-9534,1322,6362,-4550
10146,6982,-8996,352,5210,-3516
10886,7266,-9268,-648,2782,-6700
10068,8514,-8644,-114,4256,-9330
