ax,ay,az,gx,gy,gz
230,-11550,-11632,-1754,-1294,648
-188,-10796,-11958,-1716,-1718,242
-266,-10350,-12442,-1758,-1418,-10
-214,-10316,-12648,-1838,-1310,-152
-264,-9860,-12814,-862,-1418,-226
-516,-10808,-12742,-748,-1266,-578
-1014,-10940,-12548,-232,-914,-1024
-1226,-10458,-12802,2,-700,-1224
-1020,-9968,-13094,-14,-64,-932
-648,-10146,-12462,222,472,-500
-192,-10460,-12172,242,538,-188
60,-10432,-12382,122,498,14
534,-10022,-12390,154,710,332
1430,-10726,-11854,516,-18,1048
1134,-12084,-12352,534,-728,968
932,-11884,-11548,244,-978,842
666,-11578,-11092,-942,-1056,1540
1022,-12528,-11092,-1492,-914,1748
1012,-14860,-10614,-2442,-1460,1696
610,-14840,-10198,-4312,-1954,1008
-280,-12220,-10796,-6496,-2578,794
-564,-11184,-12400,-6162,-2866,1020
42,-10236,-12234,-6548,-2290,980
352,-10698,-13226,-7512,-2916,1576
-506,-8658,-13330,-6812,-3420,1820
-418,-8072,-14170,-6298,-2864,2238
600,-6388,-13438,-5336,-3112,3048
88,-7054,-14726,-4584,-5200,3924
-2278,-4316,-15240,-2976,-6276,4642
-3262,-3570,-16280,-1324,-5464,5320
-928,-6474,-14650,-744,-5170,5576
-1592,-8568,-13610,2,-6670,5628
-3914,-10316,-12698,-950,-6732,5026
-5004,-12006,-12422,-1554,-6276,3522
-4898,-9596,-13198,-2480,-6846,2000
-4646,-7040,-14204,-2952,-7170,1318
-5708,-5582,-13742,-2186,-6548,1228
-5360,-6642,-13490,-1544,-5576,1146
-4742,-6396,-13838,-1604,-5726,1048
-6326,-5062,-14432,-572,-5744,876
-7758,-4882,-14124,556,-5516,390
-6700,-5438,-14108,1096,-5040,30
-7350,-4776,-12734,1816,-4434,-374
-7572,-4826,-14062,2880,-3892,-684
-7386,-4656,-12620,3626,-4582,-38
-7320,-7128,-11792,3804,-4674,1052
-8162,-9214,-14656,3412,-5710,178
-8660,-7390,-14534,3678,-4668,-1778
-7688,-5976,-12032,4754,-3608,-2090
-7738,-8164,-10724,5844,-4662,-972
