ax,ay,az,gx,gy,gz
-17280,-774,1696,898,-624,868
-16586,-616,2092,506,-278,1322
-15876,-450,2194,114,-272,1228
-15742,-48,1742,-244,-214,762
-15998,388,1622,-364,-6,260
-16570,1192,1288,-192,402,-130
-16632,1550,1104,-22,746,-262
-15936,1182,1146,246,816,-538
-15484,672,1364,402,432,-932
-15978,262,1180,566,-84,-1240
-16838,-40,1336,798,-246,-1070
-17156,-668,1924,1022,-366,-488
-17092,-576,1934,1224,-894,384
-16792,-518,1736,1172,-868,906
-15856,-162,2166,716,-582,806
-15752,64,2024,374,-498,376
-15884,252,1664,50,-194,-136
-16230,644,1416,-222,116,-684
-16640,914,1352,-360,364,-888
-16728,468,1666,-532,562,-734
-16730,36,1696,-384,252,-494
-16980,30,1530,-186,58,-214
-16808,-246,1710,-182,176,334
-16302,-736,2164,-424,64,564
-16256,-974,2038,-738,-470,746
-16554,-574,1706,-1002,-616,946
-16580,110,1702,-1200,-412,1082
-16062,318,1788,-1242,-214,954
-15624,402,1768,-1272,-232,622
-15760,624,1518,-1242,-406,28
-16218,928,1248,-1128,-264,-392
-16464,1190,1278,-842,212,-710
-16258,1014,1406,-650,422,-976
-16208,264,1650,-488,490,-1186
-16560,-408,1840,-416,414,-1190
-17046,-714,2150,-262,296,-804
-17288,-822,2228,172,-40,184
-16902,-976,2214,392,-330,932
-15992,-846,2342,122,-516,1156
-15674,-612,2220,-148,-640,974
-15828,-232,1906,-380,-598,562
-16148,450,1592,-600,-246,76
-16374,918,1374,-608,116,-194
-16426,1352,1250,-544,508,-458
-16072,1432,1368,-390,586,-734
-15724,1178,1328,-18,326,-1236
-16204,526,1520,240,90,-1474
-16874,-478,1824,518,-124,-1244
-17524,-1422,2186,1284,-598,-252
-17722,-910,1870,1778,-1096,884
