ax,ay,az,gx,gy,gz
-16258,-786,2102,852,574,-116
-16320,-762,1754,1070,-58,28
-16212,-676,1900,1102,-390,222
-16412,-826,2484,1042,-410,380
-16066,-1194,2360,1134,324,234
-15436,-1342,2206,1100,540,-128
-15364,-1284,1910,814,-230,-596
-15970,-1162,1604,516,-964,-702
-16954,-964,1662,238,-1466,-470
-17096,-778,1996,36,-1310,-164
-16664,-722,2304,-50,-1074,156
-16380,-750,2300,-214,-730,282
-16270,-690,2268,-492,-458,184
-16356,-784,2298,-602,-296,-2
-16486,-994,2268,-610,-222,-76
-16468,-1254,2122,-694,-190,-18
-16286,-1424,2208,-968,-224,168
-16074,-1354,2448,-1180,-258,294
-15866,-1260,2732,-1298,-396,282
-15994,-1062,2654,-1290,-398,196
-16322,-970,2744,-1330,-294,90
-16372,-948,2740,-1266,-102,64
-16328,-1000,2668,-1076,164,20
-16298,-1142,2630,-878,424,-46
-16328,-1208,2498,-490,700,-224
-16300,-1132,2356,68,928,-264
-16290,-950,2110,518,976,-304
-16784,-268,2406,636,888,-442
-17180,-170,2578,78,810,-164
-16578,-576,2824,-136,460,138
-16498,-1404,2550,26,300,812
-16484,-1262,2274,94,604,1178
-16026,-732,2316,538,1146,1184
-15472,-490,2764,986,1242,612
-15438,-696,2686,1326,566,-148
-15968,-962,2180,1402,88,-404
-16384,-1076,1806,1258,-206,-292
-16348,-1418,1880,996,-212,36
-16124,-1600,2412,934,-248,90
-16368,-1560,2368,704,-486,-10
-16818,-1340,2144,362,-218,34
-16540,-1114,2114,-312,118,108
-16034,-926,1934,-630,64,88
-15814,-758,1772,-764,-158,10
-16096,-708,1952,-816,-398,-78
-16330,-750,2046,-848,-426,-146
-16374,-768,2166,-776,-340,-204
-16526,-644,2196,-648,-266,-200
-16708,-494,2262,-470,-58,-108
-16724,-410,2314,-194,318,82
