ax,ay,az,gx,gy,gz
-2436,-15446,-4816,120,74,28
-2470,-15432,-4864,92,58,-2
-2460,-15434,-4796,70,36,22
-2452,-15556,-4734,20,16,40
-2386,-15574,-4724,-6,12,30
-2446,-15488,-4818,0,-36,30
-2514,-15442,-4844,10,-46,20
-2514,-15458,-4872,-30,-18,26
-2426,-15464,-4852,-82,4,10
-2372,-15456,-4830,-60,-44,24
-2370,-15446,-4838,-48,-124,36
-2454,-15450,-4940,-24,-104,20
-2486,-15412,-4942,8,-100,6
-2436,-15376,-4918,48,-164,-18
-2400,-15444,-4830,38,-206,6
-2432,-15546,-4758,0,-218,18
-2474,-15516,-4746,-40,-196,20
-2506,-15418,-4856,-44,-168,36
-2500,-15488,-4848,-90,-118,52
-2508,-15570,-4822,-112,-88,26
-2454,-15584,-4782,-156,-154,12
-2402,-15542,-4794,-216,-192,24
-2368,-15432,-4820,-240,-238,32
-2374,-15364,-4948,-172,-382,16
-2572,-15314,-4992,-150,-436,-38
-2704,-15364,-4980,-100,-330,-66
-2622,-15404,-4942,-70,-174,-66
-2450,-15444,-4952,-56,-102,2
-2440,-15384,-4960,18,-114,12
-2492,-15328,-4952,78,-132,-10
-2644,-15324,-4954,114,-160,-20
-2602,-15394,-4954,108,-144,-32
-2510,-15442,-4906,156,-72,-52
-2476,-15446,-4836,106,-80,-68
-2524,-15470,-4848,102,-128,-52
-2560,-15458,-4910,130,-118,-66
-2600,-15432,-4926,132,-72,-78
-2598,-15398,-4886,152,-22,-118
-2560,-15450,-4816,94,50,-92
-2490,-15528,-4754,48,142,-44
-2410,-15512,-4796,90,104,-62
-2400,-15566,-4742,156,26,-86
-2342,-15496,-4800,128,-28,-118
-2326,-15352,-5010,174,-30,-84
-2424,-15342,-5138,282,102,-2
-2480,-15488,-4858,362,198,58
-2376,-15470,-4562,300,146,104
-2306,-15464,-4552,240,-40,82
-2356,-15262,-4984,276,-242,-50
-2636,-15082,-5568,1016,-556,4
