ax,ay,az,gx,gy,gz
-16186,534,3110,-102,-242,-62
-16254,562,3148,-90,-146,-16
-16184,594,3146,-60,-70,0
-16138,622,3146,-40,-80,28
-16200,624,3110,-60,-94,38
-16222,508,3070,-62,-32,74
-16174,546,3084,-70,-12,46
-16144,576,3088,-32,16,40
-16168,588,3110,-38,16,82
-16292,504,3072,-70,42,124
-16262,464,3056,-106,132,138
-16126,518,3108,-142,224,116
-16060,552,3124,-92,162,56
-16126,618,3066,-116,-30,-10
-16242,614,2924,-88,-60,24
-16176,512,2970,-10,42,12
-16030,590,3126,72,26,-32
-15996,706,3196,212,-76,-82
-16222,618,3150,304,-192,-114
-16458,566,2972,318,-134,-104
-16392,526,3000,330,174,-60
-16160,432,3192,326,268,-54
-16036,336,3180,256,162,-66
-16166,296,3128,144,72,-70
-16258,320,3042,12,96,-44
-16240,346,2956,-152,164,8
-16186,270,3046,-324,168,82
-16102,286,3156,-414,222,32
-16156,282,3098,-568,128,40
-16272,342,3044,-710,162,84
-16304,308,3010,-890,308,148
-16214,330,3062,-1004,356,162
-16116,374,3122,-1094,366,170
-16132,422,3122,-1166,344,180
-16212,414,3076,-1250,336,208
-16238,394,3102,-1282,384,242
-16176,382,3126,-1294,444,258
-16110,444,3164,-1294,412,278
-16098,416,3134,-1278,340,272
-16120,456,3098,-1244,258,248
-16154,476,3034,-1154,224,220
-16184,486,3016,-1096,182,208
-16216,464,2930,-962,114,194
-16186,506,2932,-818,108,148
-16108,510,3028,-634,56,62
-16184,524,2952,-500,-48,42
-16310,460,2822,-360,-50,54
-16338,480,2862,-244,-8,46
-16268,510,2912,-114,6,6
-16268,540,2948,42,6,0
