ax,ay,az,gx,gy,gz
-14212,1604,4782,968,2006,-1166
-14516,1196,4544,680,2152,-1108
-15622,-1152,3866,284,2370,-1714
-16660,-1692,3102,710,1952,-2140
-16458,2896,2524,540,768,-1900
-16244,5968,3364,1902,702,-66
-16952,1758,4424,2872,2476,2562
-16462,-3282,4800,1902,2448,2424
-15636,-3604,5894,-482,344,390
-15308,1112,5110,-2728,-2620,-994
-16122,2384,4088,-2428,-2100,-1292
-16732,2076,5002,-958,-1310,-846
-16642,706,4408,-270,-614,-374
-16296,190,3754,-288,86,-182
-15280,556,3844,-466,802,228
-14538,1480,4484,-312,1022,916
-13854,1738,5092,136,282,1984
-14122,1248,5170,76,-246,2220
-14858,1192,5190,-52,-754,2350
-15256,1138,5454,-160,-1044,2346
-15334,1632,5174,-308,-1908,2282
-16064,2422,4316,-306,-2598,2236
-16636,2678,3696,228,-1438,2680
-16760,1020,3308,752,280,3474
-17022,-186,3808,492,1152,3406
-16736,212,4184,-552,1890,3092
-16042,-554,3958,-1018,2052,2780
-15992,-804,4804,-1582,1568,2476
-16318,306,5144,-2292,992,1604
-16096,872,4750,-2380,786,1646
-15788,1194,4706,-2648,1028,1924
-15648,930,4540,-2724,1186,2230
-15782,736,4012,-2630,1364,2450
-15702,658,4048,-2664,1776,2630
-15358,618,4022,-2762,1994,2818
-15346,952,3964,-2734,1840,2916
-15738,808,3910,-2700,1524,2930
-16302,504,3590,-2750,1294,2532
-16718,302,3422,-2788,1282,2020
-17006,712,3518,-2558,1230,1514
-16994,556,3394,-2254,1158,906
-17122,444,3314,-2430,978,394
-16870,148,3138,-2560,756,-8
-16664,24,3028,-2972,576,-384
-16228,362,3110,-3018,276,-630
-15982,1240,3450,-2960,122,-722
-15864,2036,3594,-2686,218,-570
-15548,1894,3640,-2642,190,-342
-15496,1588,3824,-2788,132,-334
-15504,1664,3756,-3102,-128,-490
