ax,ay,az,gx,gy,gz
-12638,6574,-8202,28,-28,-10
-12640,6516,-8192,40,12,4
-12620,6548,-8260,38,0,34
-12610,6584,-8268,38,-2,16
-12608,6566,-8224,38,-16,0
-12592,6600,-8208,40,-26,4
-12604,6550,-8214,2,-84,0
-12640,6558,-8228,-2,-118,8
-12606,6574,-8208,-12,-118,4
-12598,6566,-8236,-12,-130,-2
-12614,6544,-8204,-12,-128,4
-12620,6516,-8204,-18,-150,-10
-12644,6488,-8240,-36,-174,-4
-12636,6486,-8196,-52,-182,0
-12656,6510,-8176,-82,-168,8
-12634,6508,-8150,-76,-152,-4
-12656,6552,-8148,-94,-132,4
-12680,6542,-8144,-70,-132,18
-12672,6584,-8150,-62,-152,-2
-12638,6554,-8136,-60,-166,-4
-12664,6556,-8074,-104,-160,-18
-12660,6596,-8096,-80,-138,0
-12716,6594,-8086,-50,-116,8
-12704,6606,-8076,-26,-104,-6
-12676,6596,-8082,10,-108,6
-12652,6620,-8108,-14,-102,4
-12700,6608,-8126,-6,-130,2
-12690,6604,-8070,-36,-100,16
-12664,6574,-8096,-6,-56,2
-12680,6554,-8116,30,-80,-6
-12704,6568,-8130,12,-116,-10
-12748,6510,-8066,-2,-78,12
-12686,6534,-8096,-12,-70,20
-12656,6558,-8070,-14,-46,16
-12666,6586,-8052,-12,-32,30
-12720,6584,-8094,-18,-18,36
-12752,6546,-8076,0,-12,36
-12762,6572,-8040,-8,26,30
-12688,6562,-8038,20,38,24
-12652,6570,-8070,28,18,44
-12640,6598,-8052,8,6,38
-12658,6612,-8094,28,4,36
-12654,6612,-8134,30,0,36
-12674,6660,-8144,14,-18,44
-12656,6612,-8068,30,-12,48
-12638,6592,-8068,44,-26,34
-12684,6594,-8088,12,-66,36
-12690,6572,-8092,10,-64,24
-12718,6594,-8094,30,-18,4
-12704,6582,-8064,36,16,-10
