ax,ay,az,gx,gy,gz
-2320,-15300,-5424,282,34,14
-2388,-15332,-5434,220,-12,68
-2386,-15340,-5442,236,-22,98
-2326,-15316,-5490,276,-16,40
-2376,-15236,-5520,108,-4,8
-2408,-15316,-5436,16,22,6
-2342,-15362,-5466,-12,24,20
-2278,-15248,-5492,-60,34,50
-2230,-15256,-5538,-50,34,38
-2354,-15222,-5598,-54,76,24
-2528,-15228,-5604,-112,224,12
-2512,-15306,-5538,-198,318,-38
-2392,-15310,-5456,-242,388,0
-2292,-15276,-5448,-232,302,4
-2152,-15282,-5372,-276,44,6
-2276,-15202,-5606,-276,-164,2
-2518,-15198,-5804,-212,-86,-40
-2392,-15128,-5612,-220,28,-42
-2360,-14958,-5710,-154,30,-16
-2498,-14970,-5718,-64,-48,52
-2418,-15056,-5928,44,14,44
-2316,-15028,-5838,68,114,-40
-2260,-15214,-5722,128,212,-28
-2170,-15274,-5590,152,224,-6
-2060,-15404,-5426,16,84,-22
-2138,-15390,-5450,-112,-46,-78
-2332,-15210,-5578,-98,-128,-112
-2454,-15208,-5538,-104,-118,-112
-2446,-15286,-5490,-202,-88,-124
-2436,-15208,-5618,-340,82,-164
-2430,-15134,-5782,-374,256,-198
-2512,-15050,-6002,-340,326,-212
-2436,-15054,-5884,-248,414,-90
-2178,-15120,-5742,-220,384,0
-1982,-15214,-5650,-140,228,14
-1932,-15306,-5676,-136,60,-74
-2056,-15222,-5686,-128,-118,-182
-2220,-15060,-5692,-130,-240,-198
-2392,-15156,-5576,-196,-246,-224
-2366,-15290,-5588,-406,-120,-258
-2320,-15346,-5660,-728,18,-282
-2342,-15384,-6064,-784,264,-228
-2504,-15192,-6196,-694,560,-174
-2462,-15012,-6058,-656,848,-142
-2238,-14852,-5996,-640,868,-52
-2034,-14926,-6044,-526,684,64
-1894,-15010,-6300,-358,562,-12
-1926,-15002,-6368,-148,556,-178
-2074,-14958,-6146,-38,508,-222
-2050,-14832,-6020,-26,446,-152
