ax,ay,az,gx,gy,gz
-16306,-876,2068,-14,118,34
-16294,-822,2052,4,102,36
-16340,-806,2108,-16,98,14
-16324,-814,2066,-10,92,8
-16346,-792,2020,8,68,-2
-16340,-810,2052,58,76,4
-16350,-768,2032,86,64,6
-16338,-774,2052,76,90,6
-16350,-784,2054,92,92,2
-16346,-812,2048,102,84,-2
-16326,-840,2046,110,106,16
-16350,-792,2080,102,88,-2
-16372,-842,2034,112,78,6
-16334,-792,2002,120,70,0
-16298,-818,2038,126,46,-8
-16326,-854,2042,118,34,-30
-16350,-822,2032,108,30,-16
-16372,-834,2006,90,54,-24
-16384,-838,1998,104,66,-42
-16350,-822,2004,128,88,-34
-16374,-810,1982,136,86,-28
-16360,-808,1978,158,80,-20
-16350,-790,1946,210,120,-8
-16296,-798,1946,262,126,-14
-16336,-836,1940,288,118,-32
-16378,-796,1878,334,150,-24
-16410,-808,1884,366,158,-26
-16378,-806,1890,424,154,-20
-16290,-864,1918,482,148,-32
-16282,-896,1890,480,118,-52
-16382,-856,1830,496,110,-42
-16358,-824,1844,500,146,-32
-16296,-856,1900,508,144,-54
-16320,-868,1906,550,132,-66
-16366,-872,1884,534,172,-130
-16396,-916,1770,580,68,-14
-16342,-896,1862,574,130,-14
-16306,-900,1810,600,72,-16
-16298,-912,1814,592,-4,-20
-16272,-1012,1842,542,-86,-10
-16338,-1020,1854,508,-96,6
-16398,-990,1852,452,-78,-16
-16430,-946,1786,400,-20,-6
-16392,-980,1788,368,0,30
-16256,-970,1842,330,-36,64
-16276,-1000,1884,260,-100,48
-16392,-972,1850,170,-106,48
-16396,-1004,1850,94,-82,50
-16366,-998,1824,54,-56,52
-16232,-1022,1864,-4,-38,56
