ax,ay,az,gx,gy,gz
-10458,1100,-10850,6366,6760,-2524
-10376,860,-10162,6136,4656,-1990
-10560,-12,-9832,4738,2090,-1210
-10306,-250,-9862,2772,-26,-1122
-10540,-374,-10026,316,-3216,-1174
-10780,-722,-10642,-1232,-5688,-866
-10966,-786,-12348,-2854,-6424,-918
-11470,-852,-12654,-4776,-4162,-1854
-11242,-396,-12636,-5462,-2044,-2776
-11624,-562,-12380,-5502,-1604,-3432
-10790,-406,-12658,-4952,-1630,-3496
-10694,-458,-13564,-3812,-2212,-3858
-11798,-706,-13734,-2302,-2936,-4396
-12420,-1132,-14424,-2922,-2328,-6328
-11702,-1038,-15612,-5280,532,-7218
-12176,538,-15888,-5806,2262,-7044
-10546,994,-15698,-3596,-990,-7480
-9950,1136,-14842,-1146,-3024,-7972
-10876,68,-11938,1490,-4382,-7324
-10722,-282,-11452,1262,-4850,-6220
-10054,478,-11166,-496,-3278,-5168
-10852,1292,-13250,-3900,-2496,-4662
-10100,1844,-13394,-3694,-1816,-3016
-10298,1408,-14452,-1546,1144,-1976
-10902,1312,-16394,-1636,3286,-2998
-9568,2046,-14214,218,2196,-3310
-8934,2522,-13528,3248,34,-2578
-8436,1624,-12064,5318,-2136,-1582
-8476,218,-10420,5874,-4040,-1010
-9080,-784,-9330,3270,-3670,-1504
-9400,-1590,-9708,-2470,-1656,-3372
-8590,-1432,-9978,-3850,2034,-3738
-8038,-2790,-10606,-5834,4390,-3584
-8972,-1600,-9920,-8618,5706,-2510
-9312,-720,-10972,-8720,5152,-1512
-9798,-484,-14546,-7254,2094,-2438
-10178,-154,-15492,-4132,626,-2568
-9582,-990,-13980,-1216,1986,-1864
-9336,-2426,-12128,-2842,3974,-1470
-9674,-2354,-12186,-3390,4694,-1406
-10862,-1450,-12482,-3020,2284,-3380
-11698,-766,-12806,-1824,360,-4658
-11188,-1560,-12820,2012,406,-3550
-10894,-2538,-11992,3448,682,-3420
-11258,-3060,-12612,202,1120,-3370
-11960,-3482,-13380,-748,-960,-5472
-11394,-3156,-13838,-1816,-1086,-6272
-11780,-3700,-14014,-454,-990,-6208
-12376,-2026,-13272,-1476,-1444,-6614
-12024,-1956,-12268,-2968,-2222,-5848
