ax,ay,az,gx,gy,gz
-2292,992,-16286,28,-16,6
-2282,988,-16012,16,-18,14
-2284,1020,-16212,24,-18,12
-2212,980,-15960,24,-30,14
-2152,926,-15622,8,-82,-2
-2360,1142,-16684,46,-42,-4
-1834,1132,-12622,-46,-184,-20
-2398,1326,-14028,46,-230,-20
-1904,1330,-16280,62,-44,12
-1822,1062,-14296,2,-50,18
-2286,1094,-16564,-78,10,20
-2242,984,-15478,-40,-2,22
-2392,1058,-16728,-6,-10,6
-2256,946,-15674,14,-20,12
-2340,964,-16384,20,-42,4
-2242,1010,-15916,32,-26,18
-2324,990,-16226,18,-32,8
-2258,1010,-15976,32,-32,12
-2344,1006,-16368,40,-22,16
-2256,988,-16054,36,-20,8
-2290,988,-16104,36,-32,0
-2272,992,-16116,40,-42,-4
-2296,1002,-16204,30,-28,2
-2258,958,-15920,26,-24,10
-2328,998,-16284,30,-30,6
-2252,986,-16074,26,-16,4
-2286,974,-16232,26,-30,12
-2332,956,-16120,18,-32,4
-2294,996,-16130,26,-26,0
-2282,984,-16124,36,-18,2
-2300,992,-16126,34,-20,14
-2292,974,-16238,18,-8,6
-2290,958,-16104,34,-18,12
-2290,1006,-16168,18,-22,10
-2280,970,-16120,12,-18,-2
-2272,986,-16102,16,-24,14
-2244,1000,-16060,26,-20,6
-2302,1026,-16210,20,-14,6
-2268,974,-16118,20,-24,6
-2302,978,-16198,28,-24,14
-2278,972,-16140,16,-24,8
-2270,1002,-16172,22,-22,6
-2278,1000,-16128,20,-24,0
-2254,984,-16134,22,-20,14
-2250,982,-16066,30,-28,4
-2272,1006,-16142,34,-28,12
-2300,996,-16130,26,-18,12
-2292,992,-16114,30,-40,6
-2296,958,-16166,22,-26,10
-2288,992,-16128,24,-16,6
