ax,ay,az,gx,gy,gz
-16236,1492,2168,118,-2,-20
-16218,1520,2188,122,54,-22
-16208,1512,2192,120,32,18
-16318,1502,2170,96,-12,42
-16344,1392,2062,46,16,46
-16286,1446,2120,20,48,20
-16170,1484,2192,-32,18,-6
-16250,1474,2198,-22,-52,-8
-16334,1434,2086,-30,-96,22
-16256,1428,2042,-110,-26,0
-16254,1434,2144,-144,-104,-22
-16302,1492,2142,-110,-196,-28
-16364,1522,1942,-108,-160,4
-16320,1488,2036,-82,24,20
-16214,1464,2160,-48,26,-22
-16230,1450,2128,-76,-28,-22
-16336,1420,2040,-116,-54,8
-16362,1404,2030,-134,14,18
-16310,1412,2096,-174,44,8
-16250,1476,2214,-206,18,-18
-16216,1506,2174,-204,-24,-68
-16234,1546,2074,-190,-38,-52
-16308,1520,2046,-170,-36,-2
-16296,1506,2096,-126,28,-14
-16192,1474,2172,-108,26,-68
-16188,1530,2226,-124,-62,-82
-16378,1510,2152,-88,-114,18
-16426,1464,2102,-76,-38,2
-16208,1514,2224,-58,62,-62
-16114,1498,2334,-52,12,-108
-16210,1502,2310,-56,-102,-90
-16308,1478,2072,-56,-72,-48
-16228,1470,2146,-18,-16,-64
-16170,1572,2326,2,-108,-118
-16216,1552,2200,36,-216,-140
-16332,1564,2104,60,-102,-120
-16312,1510,2192,114,-16,-134
-16240,1576,2320,174,-38,-164
-16214,1598,2326,202,-92,-214
-16264,1582,2280,236,-134,-192
-16302,1506,2290,228,-74,-162
-16264,1294,2404,138,-118,-230
-16154,1208,2450,54,-218,-354
-16282,1312,2370,-14,-312,-326
-16484,1338,2128,-36,-266,-252
-16550,1376,2058,12,38,-238
-16284,1274,2286,28,236,-256
-16186,1226,2540,-96,36,-282
-16298,1202,2434,-226,-232,-300
-16492,1316,2108,-260,-158,-314
