ax,ay,az,gx,gy,gz
-16148,194,1886,-206,64,10
-16104,442,2094,-306,60,-118
-16264,572,2326,-410,-146,-50
-16476,376,2192,-576,-308,70
-16750,334,1992,-626,-42,78
-16630,338,1938,-688,316,14
-16226,254,2322,-808,354,-36
-15974,-36,3210,-656,-4,-212
-16156,286,3320,-518,-654,-268
-17058,934,3000,-224,-1204,344
-17324,766,3090,192,-1296,1014
-16852,356,3262,562,-1346,1612
-15952,140,3380,862,-1512,1650
-15640,-58,3118,884,-1770,1576
-15676,-88,2592,752,-1536,1114
-15886,-68,2542,660,-1064,866
-16194,-260,2542,526,-484,698
-16246,-774,2674,456,-28,502
-16068,-822,2838,328,472,244
-15524,-416,3324,378,710,-494
-15204,-530,3996,348,260,-628
-15160,-532,4360,0,-388,-864
-15462,-960,4554,-386,-1182,-458
-16112,-1020,3494,-344,-2092,-328
-16130,-1090,2874,-320,-1902,-4
-16084,-578,3030,-26,-2014,-936
-16344,434,2150,-310,-2134,-972
-16978,772,1736,-412,-2234,-1504
-17406,230,638,118,-2068,-1316
-17256,382,652,292,-1496,-920
-17698,-1892,934,686,-1120,-1004
-17470,-3520,706,680,-892,-1568
-17020,-2232,412,638,-812,-1482
-16080,104,426,948,-252,-522
-15428,772,1392,1126,384,802
-14374,-312,2158,1372,250,2034
-13690,-1040,2192,1650,-550,2904
-13820,-288,2594,2142,-1464,3556
-15266,-68,3494,2818,-2346,4076
-16736,-62,4374,2678,-2954,4160
-17442,-2136,5086,956,-2822,3828
-18818,-2218,6354,516,-3904,1804
-19602,-52,4076,-512,-4240,-766
-17810,1054,2404,-1886,-1914,-1582
-15212,266,3656,-2610,790,-1206
-12758,-90,6846,-2726,1002,-468
-12536,492,7954,-2044,-1672,-10
-15196,1594,5600,-1380,-4494,-52
-18118,2070,3742,-728,-4314,-416
-19614,2262,1988,216,-806,-442
