ax,ay,az,gx,gy,gz
-15604,-376,4818,8,48,-2
-15764,-356,4778,26,-144,2
-15968,-310,4722,66,-98,20
-15898,-304,4810,46,20,68
-15700,-358,4792,20,66,102
-15616,-398,4726,32,66,50
-15680,-412,4748,26,-24,-30
-15798,-398,4736,10,-64,-52
-15838,-378,4766,18,-24,-16
-15764,-356,4836,40,-68,16
-15764,-362,4762,10,-136,6
-15842,-348,4700,-2,-112,16
-15858,-318,4766,2,32,20
-15782,-362,4818,18,92,32
-15720,-374,4816,24,54,18
-15696,-368,4772,12,6,14
-15814,-340,4772,-2,-74,14
-15818,-276,4706,-8,-86,4
-15778,-288,4738,16,14,2
-15776,-362,4870,10,12,8
-15782,-388,4818,2,-26,20
-15778,-328,4764,36,-2,22
-15774,-310,4786,64,34,16
-15790,-336,4742,52,16,4
-15786,-406,4722,44,-22,-4
-15784,-372,4752,20,-24,12
-15804,-350,4782,0,-32,14
-15766,-392,4742,-14,-10,26
-15692,-358,4806,-8,6,18
-15774,-352,4786,-24,-70,14
-15848,-362,4738,-58,-66,28
-15880,-308,4750,-46,-2,20
-15820,-314,4728,-32,40,36
-15740,-332,4760,-12,74,48
-15662,-358,4776,-2,34,38
-15732,-364,4780,-14,-62,36
-15766,-344,4696,-24,-110,16
-15866,-312,4690,-6,-26,20
-15844,-280,4744,16,26,16
-15762,-308,4784,40,36,6
-15752,-342,4764,44,-2,28
-15772,-372,4726,58,-14,10
-15790,-350,4708,60,-16,28
-15802,-364,4732,64,44,30
-15746,-362,4760,74,36,4
-15746,-358,4708,60,-16,-8
-15794,-340,4772,42,-46,4
-15842,-402,4732,48,-34,14
-15804,-400,4676,44,4,12
-15734,-320,4778,58,12,0
