ax,ay,az,gx,gy,gz
-3356,4542,-15356,14,14,-26
-3274,4434,-15298,30,80,22
-3072,4508,-15414,24,76,24
-2994,4546,-15352,-8,54,-2
-3060,4568,-15294,2,-28,-42
-3224,4572,-15462,-16,-108,-68
-3296,4548,-15440,104,-12,-28
-3188,4462,-15284,104,4,30
-3220,4454,-15346,134,-116,40
-3338,4398,-15444,140,-74,6
-3386,4424,-15372,92,14,-8
-3240,4480,-15322,60,46,10
-3136,4490,-15328,42,2,6
-3100,4488,-15416,14,-18,4
-3222,4488,-15442,26,-54,16
-3348,4500,-15424,4,-26,-14
-3282,4436,-15420,0,28,-12
-3122,4442,-15388,14,46,12
-3124,4416,-15360,24,-22,26
-3144,4400,-15352,14,-86,14
-3186,4512,-15422,24,-102,-14
-3274,4566,-15410,18,-106,-12
-3416,4542,-15418,32,-88,4
-3344,4494,-15434,14,-12,34
-3204,4524,-15362,10,-30,38
-3168,4516,-15386,36,-126,20
-3252,4496,-15344,6,-112,26
-3270,4442,-15224,116,-28,22
-3212,4400,-15414,56,-34,8
-3158,4388,-15420,0,-20,20
-3152,4466,-15408,-8,-72,22
-3186,4502,-15428,-56,-94,16
-3160,4460,-15274,-76,-144,-8
-3314,4440,-15278,-30,-194,-46
-3296,4450,-15424,-44,-82,-48
-3272,4458,-15364,-80,-82,-18
-3356,4522,-15326,-104,-116,2
-3326,4466,-15390,-100,-74,26
-3258,4478,-15428,-86,-78,38
-3228,4500,-15440,-126,-122,26
-3246,4540,-15348,-134,-118,8
-3318,4622,-15290,-46,-132,-22
-3332,4598,-15342,10,-86,-54
-3288,4606,-15366,16,-46,-28
-3178,4608,-15310,20,-54,4
-3282,4526,-15300,4,-112,24
-3364,4512,-15340,16,-98,-4
-3346,4578,-15346,62,-24,-2
-3274,4564,-15382,32,-56,6
-3234,4476,-15390,50,-78,0
