ax,ay,az,gx,gy,gz
-10692,-11768,-4412,44,4,56
-10678,-11664,-4298,-4,-94,2
-10624,-11706,-4260,-54,-64,18
-10520,-11900,-4310,-164,-176,44
-10506,-11836,-4286,-232,-172,28
-10554,-11646,-4290,-302,-184,10
-10792,-11520,-4464,-252,-72,6
-10842,-11556,-4484,-200,54,18
-10708,-11528,-4350,-82,132,42
-10596,-11480,-4336,-20,64,58
-10618,-11576,-4346,22,-28,24
-10800,-11562,-4402,32,-72,-28
-10848,-11492,-4494,6,-36,-28
-10652,-11544,-4270,24,2,24
-10672,-11700,-4256,36,-80,-2
-10748,-11746,-4452,-32,-92,8
-10672,-11730,-4430,-26,-22,16
-10630,-11682,-4382,14,-2,12
-10646,-11704,-4440,36,6,-8
-10634,-11738,-4364,64,18,-18
-10648,-11716,-4342,76,8,-20
-10656,-11674,-4348,12,6,-6
-10634,-11652,-4422,-48,-24,26
-10670,-11664,-4382,-36,-48,50
-10726,-11588,-4336,-122,-28,80
-10708,-11540,-4380,-128,-2,114
-10706,-11590,-4436,-98,2,100
-10718,-11618,-4450,-128,44,66
-10704,-11650,-4422,-114,20,62
-10752,-11754,-4442,-78,38,66
-10754,-11684,-4396,-48,52,36
-10680,-11618,-4380,-52,-2,-12
-10780,-11722,-4350,-82,14,0
-10740,-11682,-4440,-98,-6,18
-10678,-11540,-4528,-56,-46,-2
-10782,-11500,-4420,-24,-2,-20
-10706,-11428,-4430,6,-54,-44
-10528,-11514,-4392,52,-12,-22
-10502,-11640,-4316,88,30,18
-10692,-11624,-4398,156,-16,14
-10764,-11622,-4400,222,-22,-62
-10760,-11698,-4312,204,-104,-90
-10744,-11864,-4518,164,-126,-126
-10732,-11854,-4500,152,-72,-140
-10814,-11694,-4464,96,68,-156
-10756,-11678,-4616,62,62,-128
-10534,-11484,-4542,68,26,-138
-10662,-11392,-4452,-30,-42,-136
-10744,-11364,-4688,-72,-88,-56
-10652,-11380,-4582,48,8,44
