ax,ay,az,gx,gy,gz
-17020,-894,1952,-172,-750,-586
-16956,-532,1668,-440,-12,-366
-16672,-342,1748,-470,314,-174
-16256,124,1864,-224,348,-20
-16232,110,2122,-138,286,38
-16198,42,2146,-44,156,28
-16338,-54,1858,102,150,-28
-16134,44,1976,236,206,-10
-16200,-282,2284,182,-64,-8
-16586,-198,1892,142,-214,-24
-16708,-74,1720,136,70,80
-16288,-200,1948,136,174,228
-16136,-332,2032,60,0,208
-16440,-292,1934,-110,-42,142
-16470,-298,1864,-198,68,212
-16210,-354,1972,-272,68,278
-16258,-276,2034,-378,-74,214
-16478,-94,1870,-380,-26,156
-16442,36,1994,-306,254,174
-16320,74,2162,-204,230,178
-16416,176,2122,78,156,166
-16610,270,1910,326,280,208
-16442,226,1960,492,626,266
-16174,74,2194,610,598,268
-16176,-62,2218,626,338,202
-16446,4,1928,630,164,140
-16560,156,1868,720,346,122
-16242,98,2086,824,392,172
-16202,42,2146,844,238,158
-16380,-68,2022,832,118,146
-16492,-102,2014,744,184,148
-16358,-64,2030,668,256,142
-16208,-88,2034,604,222,118
-16360,-58,2030,478,148,76
-16502,18,1992,380,112,110
-16394,18,2014,346,162,148
-16286,-54,2092,238,138,120
-16318,-46,2076,112,50,56
-16368,-98,1970,-8,14,38
-16294,-156,1968,-192,30,58
-16278,-214,2028,-326,-66,48
-16414,-112,1878,-520,-102,10
-16404,-52,1910,-662,-88,2
-16354,-42,2062,-736,-114,4
-16232,-18,2184,-766,-216,20
-16194,8,2078,-750,-362,-4
-16476,222,1910,-748,-372,-100
-16580,286,2066,-644,-208,-86
-16252,284,2132,-384,-230,-34
-16138,296,2100,-142,-378,-20
