ax,ay,az,gx,gy,gz
-16380,262,2980,588,356,110
-16176,200,3156,594,434,140
-16040,2,3282,554,316,138
-16066,-18,3138,496,254,136
-16044,88,3112,534,262,152
-16208,548,3330,542,160,168
-16148,312,3278,558,10,74
-15990,264,3062,542,-76,60
-16020,210,3082,526,-194,-10
-16268,196,2970,494,-194,-30
-16424,304,3058,582,40,28
-16570,294,3328,502,354,114
-16332,102,3170,400,504,204
-15884,-272,3048,92,450,224
-15984,-358,3026,-288,186,144
-16184,-282,2728,-804,-36,56
-16028,-222,2608,-1354,52,90
-15802,-126,2890,-1696,-136,128
-16024,128,2992,-2046,-562,76
-16320,316,2840,-2156,-580,34
-16434,404,2712,-2138,-372,78
-16478,392,2750,-1996,-284,50
-16304,300,2736,-1778,-206,62
-16086,448,2882,-1292,-168,194
-16112,308,2960,-1062,-364,166
-16262,142,2606,-850,-348,-82
-16260,358,2572,-734,-78,-108
-16070,292,3056,-724,122,-90
-16124,-82,3518,-870,-236,-42
-16166,-308,3352,-1142,-558,-92
-15938,-462,3118,-1428,-740,-166
-15876,-252,3280,-1594,-788,-270
-15998,362,3496,-1568,-956,-452
-16284,812,3646,-1304,-882,-442
-16472,1232,3638,-892,-632,-380
-16492,1382,3690,18,-202,-314
-16226,1352,3902,978,46,-316
-16014,1408,4014,2326,26,-334
-16010,1420,3906,3330,-140,-444
-16032,1222,3768,4208,-272,-558
-15922,748,3718,5034,-362,-620
-15870,370,3718,5446,-448,-688
-16078,-80,3710,5624,-484,-788
-16268,-464,3656,5486,-284,-814
-16220,-870,3706,5108,168,-630
-16228,-1446,3856,4546,290,-438
-16354,-1748,3968,3664,186,-326
-16386,-1686,3668,2414,242,-102
-16186,-1698,3424,1458,380,94
-16006,-1442,3278,310,378,124
