ax,ay,az,gx,gy,gz
-16146,248,4140,512,130,150
-16202,164,4194,290,474,306
-16214,52,4242,108,698,378
-16278,204,4222,-100,1034,428
-16296,400,4286,-152,1362,470
-16240,824,4614,-176,1706,626
-15798,1024,3954,258,2144,712
-15696,1222,4514,234,1772,788
-15182,1292,4338,798,1604,842
-15394,920,4586,974,1232,582
-15772,644,4672,896,446,112
-15782,684,4132,724,16,-70
-15804,502,3946,448,-40,-164
-15758,190,4014,222,-120,-180
-15846,-460,3752,-104,-292,-124
-15914,678,3896,-524,-604,8
-16172,614,3772,-234,-532,362
-16258,344,3872,-294,-50,286
-15968,420,4184,-436,136,-58
-15816,852,4288,-492,-114,-92
-15760,1050,4200,-448,-38,44
-15984,1286,4284,-356,-64,22
-16352,1152,3932,-90,-68,12
-16234,1202,3814,52,218,52
-15758,1290,4130,212,332,78
-15614,1358,4274,224,106,28
-15746,1374,4182,328,-160,2
-15942,1288,3926,414,-236,14
-15976,1128,3932,424,-124,50
-15940,988,4080,362,-134,106
-16044,860,4018,242,-182,146
-16138,838,3910,92,-98,142
-16054,780,4020,24,0,124
-15804,876,4116,-34,30,114
-15730,742,4128,-124,-90,88
-15886,732,4092,-244,-284,88
-15964,848,3860,-464,-252,8
-15904,682,3960,-444,-94,8
-16004,904,4170,-432,-180,74
-16102,822,4056,-492,-106,112
-16136,870,4166,-492,36,156
-15962,884,4236,-380,54,118
-15844,922,4036,-358,62,80
-15856,950,4106,-268,132,78
-15934,898,4162,-172,32,110
-16092,874,3980,-174,-86,102
-16106,834,3828,-122,150,30
-15852,886,4012,-76,310,-20
-15738,860,4220,-34,88,2
-15908,866,4102,-28,-172,24
