ax,ay,az,gx,gy,gz
-15674,-642,5118,600,-14,-76
-15634,-634,5104,572,28,-58
-15624,-666,5146,526,54,-78
-15604,-730,5100,442,-16,-106
-15640,-720,5120,384,-40,-108
-15690,-678,5154,282,-24,-26
-15664,-722,5102,182,-44,34
-15610,-780,5092,64,-66,40
-15574,-784,5156,-10,-78,0
-15598,-700,5194,-52,-112,-8
-15668,-642,5114,-108,-120,12
-15734,-638,5100,-152,-110,26
-15660,-668,5168,-170,-22,20
-15604,-668,5242,-156,-18,24
-15648,-618,5228,-92,-84,10
-15642,-564,5168,-70,-82,14
-15658,-510,5156,-22,-12,12
-15654,-598,5240,8,0,28
-15642,-708,5256,18,-30,22
-15612,-708,5200,-24,-62,32
-15630,-656,5194,-60,-44,24
-15624,-612,5226,-72,2,20
-15632,-678,5260,-114,-34,26
-15612,-678,5220,-170,-72,36
-15622,-674,5184,-180,-86,56
-15670,-598,5156,-224,-104,58
-15670,-606,5156,-210,-70,48
-15652,-584,5150,-208,-70,58
-15666,-584,5142,-208,-38,78
-15638,-614,5152,-158,10,62
-15638,-628,5192,-142,-8,52
-15650,-572,5154,-92,-52,38
-15640,-532,5088,-64,-58,18
-15668,-512,5152,14,16,6
-15628,-544,5202,84,2,10
-15652,-552,5164,94,4,14
-15696,-620,5152,100,24,20
-15702,-644,5144,94,34,20
-15624,-640,5186,78,64,26
-15614,-662,5180,74,54,10
-15648,-642,5228,50,32,2
-15666,-710,5166,20,42,16
-15638,-672,5190,-2,42,22
-15600,-622,5202,10,32,18
-15596,-592,5200,-4,-22,-8
-15654,-610,5160,40,-62,-20
-15730,-566,5094,24,-44,-16
-15718,-594,5116,42,10,-16
-15706,-586,5102,54,48,-10
-15680,-598,5120,80,70,-10
