ax,ay,az,gx,gy,gz
-8482,11660,-8524,-2092,-2882,-6584
-8802,11710,-8370,-518,-3358,-5886
-8812,10966,-8364,526,-3872,-4990
-9442,10312,-8162,-230,-3662,-3930
-9872,10378,-7994,-554,-3218,-4184
-9976,10352,-7578,-714,-3060,-4836
-10452,9784,-7698,-980,-2798,-6024
-10490,10162,-6992,-1130,-2524,-6482
-10908,10158,-7276,-1258,-2806,-4716
-11064,10220,-7266,-422,-1996,-3580
-10930,9850,-5850,-134,-2930,-1620
-11156,9172,-7866,-128,-4014,-454
-11510,8958,-8050,1124,-2442,-380
-11432,9040,-6894,380,-1210,-624
-11416,9580,-7204,20,-746,-762
-11176,9798,-6844,180,530,-480
-10832,10058,-6762,378,-474,-266
-10906,9600,-7444,528,-1408,-930
-11184,9702,-7384,300,-1398,-1622
-11714,9644,-7162,-82,-1142,-1958
-11768,9590,-6758,-738,-44,-2356
-11718,9426,-6708,-830,-308,-1858
-11734,9390,-6872,-144,-792,-170
-11868,9260,-6818,538,-136,818
-11816,9112,-6690,614,264,1348
-11466,9290,-6684,646,112,972
-11294,9412,-7034,674,-368,606
-11208,9350,-7290,574,-380,656
-11454,9452,-7244,538,-46,916
-11534,9452,-7236,680,724,1092
-11408,9274,-7184,496,650,608
-11228,9464,-6982,150,280,198
-11464,9568,-7132,124,-146,280
-11636,9540,-7158,186,164,1030
-11406,9504,-7138,638,524,1512
-11314,9474,-7044,696,544,1592
-11144,9450,-7036,708,316,966
-11120,9480,-7112,536,202,212
-11040,9736,-7202,414,50,178
-11300,9720,-7290,440,220,834
-11196,9666,-7434,292,568,1020
-10972,9690,-7436,168,246,604
-11138,9692,-7398,218,186,792
-10786,9826,-7404,644,240,932
-10910,10006,-7398,866,-122,540
-10980,9840,-7378,1268,82,874
-10864,9804,-7184,1314,246,1066
-10820,9702,-7280,996,232,676
-10922,9818,-7456,792,-20,320
-11020,9732,-7508,608,20,554
