ax,ay,az,gx,gy,gz
-16216,-236,2018,44,-26,348
-16274,-88,1892,-16,50,230
-16270,4,1842,-26,192,104
-16216,42,1888,-66,292,-56
-16210,-26,1888,-56,316,-238
-16348,160,1772,-78,320,-364
-16350,144,1754,-118,430,-448
-16250,-18,1844,-114,508,-558
-16328,-196,1938,-142,450,-646
-16580,-450,1972,-36,352,-580
-16948,-254,1884,24,66,-84
-16796,-420,1864,-4,-40,410
-16402,-382,1974,-130,-230,742
-16120,-328,1956,-296,-228,778
-16166,-228,1856,-404,-214,654
-16340,4,1724,-436,-38,396
-16290,158,1672,-472,154,182
-16104,182,1910,-500,234,-72
-16146,66,1886,-492,168,-318
-16400,6,1810,-468,176,-428
-16616,-178,1910,-318,348,-364
-16754,-342,2044,-174,258,-60
-16730,-304,1958,-108,48,388
-16528,-274,2014,-142,-20,682
-16210,-236,1960,-246,-76,756
-16118,-150,1844,-328,-92,712
-16120,-36,1654,-406,-18,512
-16178,92,1572,-448,140,182
-16216,240,1552,-460,194,-54
-16244,378,1634,-406,248,-314
-16284,316,1636,-280,262,-540
-16352,338,1630,-106,250,-648
-16386,200,1662,42,294,-694
-16382,-54,1776,188,288,-698
-16524,-392,2144,392,206,-540
-16808,-596,2174,586,-58,-150
-16912,-232,1662,682,-314,524
-16480,-406,1926,628,-172,814
-16062,-318,1862,388,-254,780
-16124,-180,1618,194,-130,634
-16224,-94,1546,36,62,378
-16424,202,1482,-40,314,58
-16454,300,1536,-42,530,-80
-16386,266,1810,-28,552,-224
-16388,132,1948,140,454,-294
-16640,134,2096,456,424,-180
-16734,4,2146,714,492,112
-16718,-238,2056,842,602,312
-16458,-40,1972,752,802,428
-16180,236,1770,720,790,446
