ax,ay,az,gx,gy,gz
-17722,-2626,3892,2408,-934,1736
-16862,-1750,3338,2338,904,1420
-15610,-1572,4890,1858,2622,1750
-14794,-1944,5864,1626,2158,1262
-14824,-1166,6868,784,160,470
-15486,-540,6516,268,-1578,-150
-16348,-630,5888,422,-2022,-1312
-16198,-124,5882,446,-1112,-1678
-16090,-654,6532,500,-116,-1720
-15588,-152,6308,480,-152,-2322
-15244,754,5040,446,-302,-2566
-15180,2590,3746,1060,216,-1854
-15496,3420,4548,1832,538,-724
-16158,3298,5606,2464,-308,980
-16676,2574,5644,2460,-1162,1818
-16636,2436,5026,2262,-1616,2188
-16158,2716,4868,1978,-1450,2378
-15604,2620,4708,2074,-1254,2372
-15098,2414,4836,2056,-984,2144
-14870,2188,4918,1952,-728,1818
-15148,1832,5184,1780,-596,1234
-15712,1064,4130,1556,-682,496
-15962,1276,3404,1024,-346,-56
-15994,700,3204,214,1142,-566
-15684,-70,3250,-1078,1870,-1030
-15010,26,3990,-1988,1558,-1962
-14996,1258,5348,-2006,1162,-2826
-15384,2510,5524,-1584,132,-2908
-15922,3230,5564,-722,-192,-2494
-16552,2622,7132,402,-284,-1372
-16538,1194,6530,974,-1050,242
-16204,-96,4990,868,-1464,858
-15780,-508,4036,730,-554,274
-15530,-276,3580,720,522,-416
-15412,468,4232,596,1424,-804
-15686,580,4940,446,1108,-728
-16358,44,4822,304,588,-604
-17118,-564,4006,42,612,-352
-16906,-392,3676,-158,1342,-184
-15636,-28,4244,90,2130,-22
-14904,140,4942,452,1784,-16
-14802,406,5088,810,788,-44
-15330,622,4542,1004,-72,64
-15698,192,4318,758,-192,130
-16010,-408,4370,560,-228,24
-16056,-576,4286,454,-266,-82
-16042,-498,4274,228,-206,-42
-15994,-422,4322,-146,-72,130
-15978,-70,4440,-474,-130,228
-15906,258,4274,-616,-154,210
