ax,ay,az,gx,gy,gz
-15782,-562,4232,316,194,-256
-15920,-244,4362,-332,350,-154
-16060,6,4442,-770,236,4
-16052,322,4252,-1080,32,186
-15850,550,4080,-1052,56,278
-15672,730,4134,-944,-28,278
-15756,928,4178,-780,-354,178
-15920,1038,4086,-502,-480,60
-15988,966,4130,-10,-254,-48
-15986,936,4318,350,-50,-98
-16012,844,4320,710,44,-88
-16086,464,4160,942,96,-4
-16050,242,4018,1046,142,100
-15934,-36,3878,1002,102,190
-15870,-266,3958,702,106,224
-15882,-624,4290,228,30,208
-15962,-892,4306,-374,-180,12
-16026,-468,4034,-1106,-270,-76
-15922,92,3976,-1232,-62,-6
-15880,316,4258,-1260,14,108
-15968,446,4306,-1044,-100,200
-16108,442,4144,-798,-60,264
-16148,312,4166,-610,186,374
-16044,174,4274,-526,306,298
-15866,256,4392,-506,324,10
-15730,568,4308,-440,222,-182
-15746,594,4210,-354,218,-206
-15798,594,4244,-330,90,-134
-15926,574,4250,-330,-66,-60
-16056,544,4332,-176,-102,-6
-16030,700,4278,-28,-8,-4
-15932,934,4236,104,158,-56
-15872,840,4172,394,142,-16
-15974,690,4136,564,124,-48
-16036,526,3974,802,148,-48
-16012,522,4068,938,224,-68
-15728,338,3982,958,170,-80
-15570,-2,4080,808,20,-50
-15854,-306,4088,666,-484,-40
-16314,-290,3812,450,-650,-90
-16286,14,3830,268,-264,-156
-15920,262,4212,30,0,-204
-15684,384,4250,-76,-44,-296
-15710,440,4166,-58,-48,-316
-16060,696,4116,48,-226,-222
-16276,894,4016,194,-186,-94
-16116,722,4068,404,86,76
-15752,302,4210,446,96,110
-15644,-16,4170,294,-238,52
-15854,-136,4076,24,-266,30
