ax,ay,az,gx,gy,gz
-16552,-1410,1006,4118,-8270,3022
-16602,-2834,-418,2794,-9742,3220
-14824,-3554,-2596,1468,-11070,2260
-13766,-2870,-3032,-420,-10654,-86
-13424,3756,-2414,-1226,-10662,-1352
-13976,8056,-924,-1178,-9202,-1984
-13014,7712,772,-1662,-6678,-1058
-10840,812,2714,-2774,-4170,428
-10098,222,1432,-3680,-4264,796
-9842,-1458,-1328,-6446,-4392,3458
-8412,-1016,-3788,-9734,-2218,4944
-5888,2290,-2574,-8764,1632,3780
-3416,3582,886,-6618,3700,2292
-2114,5452,4248,-4480,3406,232
-3782,5438,8730,-496,594,74
-12296,-3250,13974,8010,-5074,3406
-24146,2298,11302,10490,-24712,2708
-27998,1570,-1958,12570,-27708,2984
-32766,-15106,-5184,12898,-9022,3454
-31666,-20114,-3564,4904,8364,4162
-20608,-12578,1126,-438,12570,-1044
-16478,-7614,2596,-2036,7736,-3238
-13850,-6362,470,-1656,4828,-3648
-12638,-1952,214,-1572,4506,-4856
-11816,378,542,2410,3686,-5632
-9024,3992,1376,3812,4336,-4536
-6158,5728,3468,2604,4362,468
-6080,1946,3484,3110,642,5150
-10584,-3084,3534,3864,-4682,5576
-15036,-1250,1512,1638,-6770,7578
-20830,-1122,-1630,2460,-6160,8236
-23630,-2294,-1320,1564,134,7552
-21878,-1726,2490,372,2882,2926
-17994,-2800,4116,-2182,1842,150
-15124,-4334,4958,-3014,210,-1852
-12632,-4786,3088,-4150,-2046,-3046
-12640,-3312,2162,-4422,-2870,-2228
-15086,-2714,2238,-4390,-3726,-406
-17084,-1522,2138,-4144,-3028,-52
-17894,-98,2276,-4314,-1896,-166
-17792,-368,3244,-4126,-1538,-972
-17254,580,3172,-4048,-2034,-1770
-16858,1568,2274,-3250,-2064,-1186
-16972,1196,1524,-2576,-1520,-768
-16966,348,1860,-1688,-408,-462
-16832,-476,2650,-1160,534,-462
-16338,-1180,3268,-786,864,-710
-15378,-1160,3584,-676,246,-710
-14970,-1196,3436,-456,-726,-676
-15196,-1302,3310,-332,-1464,-708
