ax,ay,az,gx,gy,gz
-10530,-11544,-4276,-880,854,314
-10262,-11414,-4236,-706,416,186
-10258,-11392,-4690,-312,112,142
-10266,-10956,-4900,118,78,118
-10210,-10698,-4674,620,32,-22
-10600,-10914,-4680,1024,-206,-218
-11200,-11046,-5018,1502,-220,-248
-11072,-10940,-4870,1806,22,-154
-10846,-11224,-4350,1934,80,-134
-12108,-12924,-5254,2742,172,-1090
-10856,-10644,-3516,1030,642,-112
-10268,-11592,-3938,712,538,330
-10916,-11724,-4054,324,742,342
-9576,-12816,-3302,-690,-154,812
-9720,-12586,-4526,-796,-1202,446
-10712,-11786,-4798,-626,-1388,48
-11216,-9944,-4762,-396,-718,628
-11598,-10556,-5310,336,-150,1120
-11374,-12476,-5504,524,630,532
-10332,-13110,-5262,316,960,-74
-10186,-12970,-4288,-184,476,-296
-10688,-12012,-4460,-476,-102,-278
-10842,-11076,-4992,-552,-202,-238
-10742,-10904,-5062,-398,38,-26
-10744,-10710,-4898,-376,76,210
-10766,-10812,-4978,-318,-88,162
-10832,-11348,-4944,-308,-10,22
-10720,-11554,-4686,-368,74,38
-10498,-11348,-4536,-370,48,124
-10518,-11186,-4702,-324,-40,204
-10970,-11326,-5050,-152,-44,248
-11048,-11358,-4914,62,100,212
-10712,-11360,-4572,324,136,104
-10704,-11342,-4652,348,-36,16
-10846,-11636,-4714,398,-78,-108
-10918,-11618,-4732,320,-54,-152
-10828,-11582,-4702,290,-52,-144
-10678,-11422,-4652,246,-30,-110
-10646,-11406,-4628,216,-84,-44
-10810,-11414,-4752,194,-52,-50
-10896,-11452,-4776,118,52,-44
-10744,-11500,-4706,68,90,16
-10592,-11540,-4694,42,-34,30
-10686,-11446,-4730,32,-94,30
-10924,-11446,-4728,24,-8,30
-10912,-11480,-4716,-12,30,18
-10754,-11482,-4824,-30,48,0
-10702,-11458,-4738,-8,36,40
-10762,-11536,-4720,54,38,44
-10822,-11456,-4678,66,48,18
