ax,ay,az,gx,gy,gz
-15836,158,3944,-4062,-1746,-826
-15914,-236,3914,-3880,-1942,-892
-15834,-274,4064,-3950,-2010,-808
-15880,-558,4340,-4100,-2184,-682
-15828,-1298,4434,-4466,-2406,-668
-15818,-1470,4812,-5096,-2504,-688
-15688,-2206,4842,-5440,-2902,-1102
-15684,-1980,5496,-6204,-3170,-1218
-15788,-2648,5350,-6682,-3512,-1476
-15830,-1932,5552,-7216,-4136,-1930
-16388,-2732,4968,-7226,-4440,-2134
-16728,-2670,5070,-8094,-3636,-2428
-16688,-1608,5040,-8012,-2652,-2498
-16470,-98,5578,-7574,-1524,-2622
-16488,-152,5052,-6826,-1406,-2868
-16894,-244,4564,-6288,-1016,-3232
-16670,758,3734,-5268,-122,-3372
-16452,776,3586,-3782,828,-2730
-15806,-120,4054,-2372,1614,-2114
-15400,-1370,4364,-1546,1822,-1594
-15090,-2632,4780,-1180,1576,-1484
-14200,-3348,5442,-1238,310,-1212
-14172,-3508,5274,-1192,-838,-1170
-14916,-2816,4724,-1454,-1340,-848
-15726,-2942,4416,-1500,-682,-392
-15912,-3544,4944,-1622,354,-302
-15358,-3606,5622,-1848,446,-148
-14758,-3628,5786,-2060,20,72
-14450,-4124,5732,-1982,-730,178
-14612,-4248,5514,-2038,-1358,-24
-15022,-4152,4876,-2234,-1668,-154
-15352,-3816,4766,-2492,-1534,-56
-15320,-3804,4576,-2874,-1118,186
-15148,-4472,4618,-3248,-564,406
-15178,-4712,4828,-3592,-350,578
-15476,-3856,4798,-3822,-682,894
-15512,-3344,4592,-3976,-694,1304
-14946,-3118,4386,-4366,82,1832
-14806,-4250,4254,-4550,332,2172
-14948,-3352,4450,-4638,-462,2724
-15076,-2768,4400,-4348,-1300,3350
-15286,-2090,4330,-4092,-1436,3838
-15470,-2714,4178,-4048,-1280,4738
-15476,-3846,4556,-4374,-954,5412
-15812,-4746,4042,-4758,-890,5610
-16312,-5402,4054,-5432,-468,5518
-16310,-4482,4064,-6364,728,5464
-16428,-2782,5270,-6794,796,5442
-16238,-976,3968,-7020,-214,5240
-16182,-372,1918,-6442,1692,6604
